# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
0.062979654     	smoothSolver	4.91566150e-04	3.90065520e-09	3	2.85228530e-03	5.91785930e-10	4	8.28393020e-03	7.69122480e-10	5	false	GAMG	9.92169810e-03	4.92204510e-05	4	true
0.064391507     	smoothSolver	4.89228030e-04	3.79665510e-09	3	2.84694100e-03	5.77385770e-10	4	8.05878100e-03	7.27782270e-10	5	false	GAMG	7.43452430e-03	5.05756490e-05	4	true
0.065805295     	smoothSolver	4.87078380e-04	3.69711980e-09	3	2.83977450e-03	5.63051520e-10	4	7.88888360e-03	6.86943430e-10	5	false	GAMG	8.01825880e-03	5.30144350e-05	4	true
0.067220977     	smoothSolver	4.85096140e-04	3.60557010e-09	3	2.83421520e-03	5.49610010e-10	4	7.80407200e-03	7.29193870e-10	5	false	GAMG	8.93663660e-03	5.85387420e-05	4	true
0.068638514     	smoothSolver	4.83158990e-04	3.52574040e-09	3	2.82958370e-03	5.37326290e-10	4	7.84874280e-03	7.30863950e-10	5	false	GAMG	9.40086750e-03	4.96231080e-05	4	true
0.070057869     	smoothSolver	4.80941270e-04	3.44482990e-09	3	2.82450090e-03	5.26343740e-10	4	7.58191330e-03	6.65640230e-10	5	false	GAMG	7.96093580e-03	5.44394900e-05	4	true
0.071479009     	smoothSolver	4.79375560e-04	3.37007320e-09	3	2.81847730e-03	5.14087160e-10	4	7.64955270e-03	6.41952830e-10	5	false	GAMG	7.60354690e-03	5.23228800e-05	4	true
0.072901899     	smoothSolver	4.77634900e-04	3.29903810e-09	3	2.81163810e-03	5.03370840e-10	4	7.15336200e-03	9.74167280e-09	4	false	GAMG	7.24198420e-03	5.16535990e-05	4	true
0.074326509     	smoothSolver	4.75873930e-04	3.23102340e-09	3	2.80453850e-03	4.93559070e-10	4	7.06517830e-03	9.57130460e-09	4	false	GAMG	7.82816780e-03	5.13717890e-05	4	true
0.075752811     	smoothSolver	4.74206280e-04	3.16932800e-09	3	2.80037350e-03	4.85306340e-10	4	6.95272770e-03	9.23057030e-09	4	false	GAMG	6.82270080e-03	5.21285330e-05	4	true
0.077180778     	smoothSolver	4.72569130e-04	3.10987500e-09	3	2.79478350e-03	4.76952500e-10	4	7.15619440e-03	9.11551240e-09	4	false	GAMG	6.95846760e-03	5.05539670e-05	4	true
0.078610384     	smoothSolver	4.70938880e-04	3.05448710e-09	3	2.78820200e-03	4.68587610e-10	4	7.13585240e-03	7.70308230e-09	4	false	GAMG	7.18452250e-03	5.38972730e-05	4	true
0.080041606     	smoothSolver	4.69346850e-04	3.00320190e-09	3	2.78142300e-03	4.60750560e-10	4	7.33887550e-03	7.63180340e-10	5	false	GAMG	8.89881510e-03	5.04425060e-05	4	true
0.081474424     	smoothSolver	4.67655910e-04	2.95568730e-09	3	2.77561600e-03	4.54029440e-10	4	7.07204260e-03	6.78023150e-10	5	false	GAMG	8.35269920e-03	6.37428030e-05	4	true
0.082908818     	smoothSolver	4.66577100e-04	2.91153740e-09	3	2.77298480e-03	4.47990610e-10	4	6.45700130e-03	7.60642110e-09	4	false	GAMG	6.84455330e-03	5.23867620e-05	4	true
0.08434477      	smoothSolver	4.65159360e-04	2.86718650e-09	3	2.76622800e-03	4.41706390e-10	4	6.46511100e-03	7.91914970e-09	4	false	GAMG	6.80676590e-03	5.44468180e-05	4	true
0.08578226      	smoothSolver	4.63869770e-04	2.82522650e-09	3	2.75970850e-03	4.35790900e-10	4	6.47169250e-03	8.17375500e-09	4	false	GAMG	7.31569900e-03	5.25773340e-05	4	true
0.087221273     	smoothSolver	4.62292260e-04	2.78359040e-09	3	2.75050460e-03	4.29623320e-10	4	6.45184740e-03	8.08227270e-09	4	false	GAMG	8.33344010e-03	5.84125530e-05	4	true
0.088661791     	smoothSolver	4.61227980e-04	2.75020780e-09	3	2.74716130e-03	4.24770300e-10	4	6.32254240e-03	8.10543100e-09	4	false	GAMG	6.88999040e-03	5.23006290e-05	4	true
0.090103799     	smoothSolver	4.59805050e-04	2.71168160e-09	3	2.73885360e-03	4.19261170e-10	4	6.55949120e-03	8.24300120e-09	4	false	GAMG	6.23076350e-03	5.14579510e-05	4	true
0.091547283     	smoothSolver	4.58386020e-04	2.67606640e-09	3	2.73167390e-03	4.14259030e-10	4	6.35031990e-03	7.96180400e-09	4	false	GAMG	7.23266510e-03	5.26117850e-05	4	true
0.092992228     	smoothSolver	4.56884170e-04	2.64051320e-09	3	2.72281940e-03	4.09224720e-10	4	6.32768020e-03	7.44464940e-09	4	false	GAMG	8.56908760e-03	5.46467250e-05	4	true
0.094438621     	smoothSolver	4.55666070e-04	2.60999740e-09	3	2.71876230e-03	4.05327410e-10	4	6.04046260e-03	7.34748590e-09	4	false	GAMG	8.01139220e-03	5.75953160e-05	4	true
0.09588645      	smoothSolver	4.54716810e-04	2.58344830e-09	3	2.71489850e-03	4.00886550e-10	4	7.04423060e-03	8.56276020e-09	4	false	GAMG	6.92385960e-03	5.39896400e-05	4	true
0.097335703     	smoothSolver	4.53280670e-04	2.55434150e-09	3	2.70719480e-03	3.97198210e-10	4	6.20826520e-03	7.08633210e-09	4	false	GAMG	6.32267300e-03	5.17750470e-05	4	true
0.098786368     	smoothSolver	4.52014110e-04	2.52588040e-09	3	2.70016020e-03	3.93181920e-10	4	5.99646110e-03	7.03675090e-09	4	false	GAMG	6.12712510e-03	5.11115200e-05	4	true
0.10023843      	smoothSolver	4.50861250e-04	2.49955460e-09	3	2.69380230e-03	3.89316050e-10	4	6.17875490e-03	7.17767260e-09	4	false	GAMG	6.02860060e-03	5.11800220e-05	4	true
0.10169189      	smoothSolver	4.49573870e-04	2.47500210e-09	3	2.68739470e-03	3.85797010e-10	4	6.03169110e-03	7.36507310e-09	4	false	GAMG	5.63234660e-03	4.97087140e-05	4	true
0.10314673      	smoothSolver	4.48243580e-04	2.44962690e-09	3	2.68016650e-03	3.82472230e-10	4	5.97159860e-03	7.22056130e-09	4	false	GAMG	6.19477960e-03	4.59544090e-05	4	true
0.10460294      	smoothSolver	4.46818420e-04	2.42456090e-09	3	2.67256670e-03	3.79432260e-10	4	6.00540020e-03	7.06617130e-09	4	false	GAMG	6.73345860e-03	5.52203700e-05	4	true
0.10606051      	smoothSolver	4.45553100e-04	2.39914840e-09	3	2.66359450e-03	3.75547520e-10	4	5.85737060e-03	6.81321460e-09	4	false	GAMG	7.34387120e-03	5.56373670e-05	4	true
