x,y,mean,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10
0.006000000052,0.002000000095,0.1264291108,-6.108855868e-07,1.667211261e-06,1.479987499e-06,6.162670917e-07,2.138233856e-06,-1.201523066e-05,-3.152991555e-06,1.848645227e-05,1.731171519e-06,1.170569064e-08
0.006000000052,0.002000000095,0.1264282882,-6.063251734e-07,1.664713628e-06,1.463569691e-06,5.201160894e-07,2.304770102e-06,3.562352428e-05,-3.396367179e-05,-4.241501756e-05,8.290717948e-05,9.096157641e-08
0.006000000052,0.001666666707,0.1264046848,-4.661865371e-07,1.265121267e-06,1.133652535e-06,1.550565954e-07,2.997892584e-06,-1.180271175e-05,-2.089707686e-06,1.707640045e-05,9.207653281e-07,8.670199827e-09
0.006000000052,0.003000000026,0.1265551761,-1.28860196e-06,3.861574753e-06,3.061819183e-06,5.599349185e-07,4.641133766e-06,-2.437073241e-05,-5.556759065e-06,3.697888162e-05,1.531256674e-06,2.136747519e-08
0.006000000052,0.00233333325,0.1264693558,-8.308950108e-07,2.380866405e-06,1.945314223e-06,9.126001089e-07,5.556213901e-06,2.489026479e-05,-3.582234622e-05,-2.676663927e-05,8.489262698e-05,1.015489948e-07
0.006000000052,0.00400000019,0.1267280415,-2.083035422e-06,6.972621717e-06,5.126558745e-06,1.879442986e-06,9.089800267e-06,8.743963593e-07,-4.247208108e-05,1.144023416e-05,8.716739572e-05,1.24583012e-07
0.006000000052,0.003666666569,0.1266691938,-1.815965837e-06,5.932131067e-06,4.490469084e-06,1.569643581e-06,1.029565547e-05,1.428922769e-06,-4.119966128e-05,9.096787549e-06,8.711701027e-05,1.250846673e-07
0.006000000052,0.004999999888,0.1269696742,-2.975653872e-06,1.122697757e-05,7.522495521e-06,3.406125413e-06,1.568317248e-05,1.269861295e-05,0.0001403143626,0.000340585564,8.102097989e-05,2.810113617e-07
0.006000000052,0.004333333112,0.1268050581,-2.368363665e-06,8.356436819e-06,5.87630146e-06,2.086618915e-06,1.196169953e-05,-1.013979078e-05,-4.453079534e-05,2.797332608e-05,8.836533685e-05,1.345542734e-07
0.006000000052,0.006000000052,0.1272600666,-3.749985966e-06,1.641639052e-05,1.002384983e-05,5.004558606e-06,2.315076506e-05,-1.666576088e-05,-8.956918136e-05,5.333622233e-05,0.0001799609073,2.734113073e-07
0.006000000052,0.006000000052,0.1272484094,-3.708058816e-06,1.63130873e-05,1.000653882e-05,4.782946591e-06,2.255392843e-05,2.780893129e-05,0.0001012890438,0.0003313419978,0.0001676300396,3.955730415e-07
0.006000000052,0.005666666664,0.1271519721,-3.45060469e-06,1.459549674e-05,9.158805554e-06,4.198315632e-06,2.038303739e-05,-9.041982766e-06,0.0001351521224,0.0003747685269,8.420571398e-05,3.014302466e-07
0.006000000052,0.007000000216,0.1276174814,-4.32826617e-06,2.27216929e-05,1.265042769e-05,7.096794668e-06,3.139092373e-05,-1.423499866e-05,9.025232238e-05,0.0003989727068,0.0001762767298,4.415477183e-07
0.006000000052,0.006500000134,0.1274248093,-3.990875188e-06,1.945355101e-05,1.123039885e-05,6.275004754e-06,2.667024719e-05,7.112983544e-06,9.53444267e-05,0.0003652421069,0.0001728292781,4.198068366e-07
0.006000000052,0.009999999776,0.1291459054,-3.29866219e-06,4.815411379e-05,1.97079077e-05,1.881828605e-05,6.605632846e-05,3.537307642e-06,0.000139448232,0.0007749735033,0.0004547096144,1.009032246e-06
0.006000000052,0.009999999776,0.1291091651,-3.223377638e-06,4.784253975e-05,1.958062353e-05,1.839848714e-05,6.769915507e-05,6.497381664e-06,-8.117169189e-05,0.0004349594288,0.0005471695926,9.659024741e-07
0.006000000052,0.009499999695,0.1288162008,-3.709722196e-06,4.309610645e-05,1.855786398e-05,1.646691056e-05,6.162522017e-05,-1.175116134e-05,-4.169893474e-05,0.0004466456612,0.0004577366859,8.493006515e-07
0.006000000052,0.01099999994,0.1298391849,-1.460059719e-06,5.880119176e-05,2.16752615e-05,2.45644885e-05,7.956934839e-05,-1.282851432e-05,-0.000134709912,0.0004896439898,0.0006521003911,1.139054017e-06
0.006000000052,0.01049999986,0.1294510037,-2.300475375e-06,5.312637931e-05,2.052648302e-05,2.16560004e-05,7.48146226e-05,1.260929765e-05,9.755350446e-05,0.0007777338269,0.0005483856127,1.13751266e-06
0.006000000052,0.01400000043,0.1326761618,1.113172999e-05,9.701402359e-05,2.571813172e-05,4.913611366e-05,0.0001350515232,3.342804557e-05,1.832862515e-06,0.001218870635,0.001140661147,2.170106872e-06
0.006000000052,0.01400000043,0.1325891942,1.120073713e-05,9.639496922e-05,2.552367397e-05,4.915275461e-05,0.0001344373726,2.208113557e-05,-3.141377326e-05,-0.0006962912779,-0.0003728268933,-8.590043138e-07
0.006000000052,0.01350000035,0.1320511684,8.417926119e-06,8.955164953e-05,2.506069134e-05,4.426532968e-05,0.0001234729741,-5.896222577e-06,8.156225343e-05,0.001245616222,0.0009566144936,1.93094129e-06
