signal,phase_rad,phase_deg,mean_value,scaled_value
Cl_p,3.2070425005395804,183.75,2.461091209875939,-1.0572624575218181
Cl_p,3.337942194439155,191.25,2.459495476371388,-1.0889692249239415
Cl_p,3.4688418883387295,198.74999999999997,2.447729914181327,-1.3227475736592347
Cl_p,3.5997415822383045,206.25,2.443688780327408,-1.4030437451575697
Cl_p,3.730641276137879,213.75,2.4322649437882315,-1.630032103147513
Cl_p,3.8615409700374537,221.24999999999997,2.443726898648549,-1.4022863450411092
Cl_p,3.9924406639370282,228.74999999999997,2.428858632343494,-1.6977145353139556
Cl_p,4.123340357836604,236.25,2.428553118673841,-1.703785004370494
Cl_p,4.254240051736177,243.74999999999994,2.4346647363997675,-1.5823489117309602
Cl_p,4.385139745635753,251.25,2.455154603785083,-1.1752211191304016
Cl_p,4.5160394395353265,258.74999999999994,2.4682410582218774,-0.915197020016994
Cl_p,4.646939133434902,266.25,2.551145903969018,0.7320985046535416
Cl_p,4.777838827334477,273.75,2.5533339667833532,0.7755746856809576
Cl_p,4.908738521234051,281.24999999999994,2.590024795391729,1.5046109346280327
Cl_p,5.0396382151336265,288.75,2.608414997396435,1.8700189778748195
Cl_p,5.1705379090332,296.24999999999994,2.60754128359092,1.852658534963466
Cl_p,5.301437602932776,303.75,2.4929587425627506,-0.42406371619145966
Cl_p,5.43233729683235,311.25,2.4913381071089304,-0.4562652781887266
Cl_p,5.563236990731925,318.74999999999994,2.563979447271078,0.9870973320034941
Cl_p,5.6941366846315,326.25,2.5709505692012584,1.125611526849754
Cl_p,5.825036378531074,333.74999999999994,2.5642974844520174,0.9934166396400823
Cl_p,5.955936072430649,341.25,2.5775738977143337,1.2572151661748765
Cl_p,6.086835766330223,348.74999999999994,2.5534306675733354,0.7774961026636937
Cl_p,6.2177354602297985,356.25,2.5276844147129345,0.26592543714035505
Cl_v,0.06544984694978735,3.7499999999999996,0.0024165339640778395,0.40425862432391857
Cl_v,0.19634954084936207,11.25,0.0029526056255034746,0.5269975984371621
Cl_v,0.32724923474893675,18.749999999999996,-0.0003963627414773663,-0.23978223955648362
Cl_v,0.4581489286485115,26.25,0.0014720196785694402,0.18800262203813833
Cl_v,0.5890486225480862,33.75,0.00035024452141842156,-0.06883903157264222
Cl_v,0.7199483164476609,41.25,-0.0004302301193336066,-0.24753651480193445
Cl_v,0.8508480103472356,48.74999999999999,0.0012088667360557626,0.12775112112291837
Cl_v,0.9817477042468103,56.25,-0.0015243889422765684,-0.4980551321969019
Cl_v,1.1126473981463851,63.75000000000001,-0.0009164383987616239,-0.3588587683671671
Cl_v,1.2435470920459597,71.25,-0.00039136367634567173,-0.23863765354319255
Cl_v,1.3744467859455343,78.74999999999999,-0.0007039743543769516,-0.31021299818343046
Cl_v,1.5053464798451093,86.25,0.002839697790636538,0.5011462191942067
Cl_v,1.6362461737446838,93.75,0.00297728847864954,0.5326489847933801
Cl_v,1.7671458676442584,101.24999999999999,-0.0014257721262000166,-0.4754758247898278
Cl_v,1.8980455615438332,108.74999999999999,-0.003452757706735277,-0.9395744679369025
Cl_v,2.028945255443408,116.25,0.0012756139881352775,0.14303357277001813
Cl_v,2.1598449493429825,123.74999999999999,-0.0003372319141596077,-0.22624364461537452
