station,theta_deg,z_m,Nu_mean,Nu_rms
stagnation_0deg,1.8749999999999978,0.0038000000000000004,1.7127039172781646,0.13821772578385563
stagnation_0deg,1.8749999999999978,0.004200000000000001,1.4188592932168564,0.11421426548692831
stagnation_0deg,1.8749999999999978,0.004600000000000001,1.093881992190267,0.08712696963492503
stagnation_0deg,1.8749999999999978,0.005,0.7728094654176929,0.06095614738308714
stagnation_0deg,1.8749999999999978,0.0054,0.4521563663546444,0.03543376845819837
stagnation_0deg,1.8749999999999978,0.0058000000000000005,0.16149571100861163,0.012627734304667536
side_plus90deg,91.87499999999999,-0.0058,1.0885280891209987,0.012799089652337616
side_plus90deg,91.87499999999999,-0.0054,2.860748417721625,0.03185248496148436
side_plus90deg,91.87499999999999,-0.005,4.787065084254428,0.0519900164238896
side_plus90deg,91.87499999999999,-0.0046,6.621270344800133,0.07240210046990952
side_plus90deg,91.87499999999999,-0.004200000000000001,8.057654669629867,0.08965789913610482
side_plus90deg,91.87499999999999,-0.0038,9.901088036189096,0.11557448391322146
side_plus90deg,91.87499999999999,-0.0034000000000000002,11.246409339153095,0.13411213868514746
side_plus90deg,91.87499999999999,-0.003,11.320581718431269,0.12573455755652183
side_plus90deg,91.87499999999999,-0.0026,11.418883722662759,0.12047472450665062
side_plus90deg,91.87499999999999,-0.0021999999999999997,11.601685865194566,0.12092120318837882
side_plus90deg,91.87499999999999,-0.0018,11.773502014641398,0.12196277138107581
side_plus90deg,91.87499999999999,-0.0013999999999999998,11.882986071655095,0.12268724327256073
side_plus90deg,91.87499999999999,-0.0009999999999999996,11.942044912149374,0.12306719756113121
side_plus90deg,91.87499999999999,-0.0005999999999999998,11.974400103631448,0.12326290968447316
side_plus90deg,91.87499999999999,-0.0002000000000000001,11.986566221436323,0.12333000771575398
side_plus90deg,91.87499999999999,0.0002000000000000001,11.987843714881345,0.12333449395254693
side_plus90deg,91.87499999999999,0.0006000000000000003,11.975194735095448,0.12326575691197156
side_plus90deg,91.87499999999999,0.0010000000000000005,11.943336317361705,0.12307171770937468
side_plus90deg,91.87499999999999,0.0014000000000000002,11.88470434121143,0.122689310722777
side_plus90deg,91.87499999999999,0.0018,11.804026966735728,0.1221485001991741
side_plus90deg,91.87499999999999,0.0022000000000000006,11.641676582807461,0.12112615594675276
side_plus90deg,91.87499999999999,0.0026000000000000007,11.41909822173637,0.12041665793469157
side_plus90deg,91.87499999999999,0.003,11.315653725399509,0.12557335108372294
side_plus90deg,91.87499999999999,0.0034000000000000002,11.233999215591686,0.13371836649480442
side_plus90deg,91.87499999999999,0.0038000000000000004,10.51376561140901,0.12360539137472193
side_plus90deg,91.87499999999999,0.004200000000000001,8.741791117837721,0.09693079622143716
side_plus90deg,91.87499999999999,0.004600000000000001,6.874360311491636,0.07473517883204946
side_plus90deg,91.87499999999999,0.005,4.9792102329373025,0.053931505475870806
side_plus90deg,91.87499999999999,0.0054,2.9713330163792526,0.03286180487855293
side_plus90deg,91.87499999999999,0.0058000000000000005,1.1166303957793327,0.012912876774310845
side_minus90deg,-88.125,-0.0058,1.0308979298785081,0.008076125930765697
side_minus90deg,-88.125,-0.0054,2.5941290512221546,0.019030829339719387
