theta_rad,theta_deg,z_m,Nu_mean,Nu_rms,A1,phase1_rad,A2,asym_mean_minus_opposite
-0.425424005173618,-24.37500000000001,-0.0058,0.1567401282203686,0.0169046149645764,0.003818658410234003,1.324500881018323,0.002888102938593366,0.037272964666454966
-0.3599741582238305,-20.625000000000004,-0.0058,0.17307533205576617,0.018342855025089158,0.004792152605499591,1.3236788167106535,0.0030082811557749375,0.037154863014414036
-0.2945243112740432,-16.875000000000007,-0.0058,0.16763161366867993,0.016816019949093406,0.004788595770536492,1.3035047139841076,0.002677582659441164,0.03243728756331388
-0.22907446432425593,-13.12500000000001,-0.0058,0.1816825776567461,0.01613009349161681,0.005103806804667185,1.264350525693402,0.002318278902366951,0.027730046030807726
-0.16362461737446865,-9.375000000000014,-0.0058,0.18078593491319878,0.01430847135983809,0.004841309267337859,1.2209722671637189,0.0017557096177990077,0.02078209894394245
-0.09817477042468137,-5.625000000000019,-0.0058,0.17839831362232086,0.012282959109693866,0.004385624048457277,1.1536888813569257,0.0011632249714869035,0.01328450226828859
-0.03272492347489386,-1.8750000000000107,-0.0058,0.1749622558061449,0.009971451276598098,0.003720448816970329,1.0214061973100494,0.00043346172014359716,0.004247728006420787
0.03272492347489364,1.8749999999999978,-0.0058,0.17071452779972413,0.008646129731242836,0.003253127565812507,0.8835944575506627,0.00023673616939587667,-0.004247728006420787
0.09817477042468092,5.624999999999994,-0.0058,0.16511381135403227,0.007764291233426799,0.0028732251590519405,0.7178900301525895,0.0006124785005597164,-0.01328450226828859
0.1636246173744682,9.37499999999999,-0.0058,0.16000383596925633,0.007492417180673593,0.002623101687143395,0.5471112400574495,0.0010063978779138141,-0.02078209894394245
0.2290744643242555,13.124999999999986,-0.0058,0.1539525316259384,0.00741717152449026,0.0024358183000916314,0.40689971943962594,0.0012988382574667713,-0.027730046030807726
0.29452431127404277,16.874999999999982,-0.0058,0.13519432610536605,0.006842687610396203,0.002070476289512654,0.23970384190542837,0.0014601307403142379,-0.03243728756331388
0.35997415822383005,20.624999999999975,-0.0058,0.13592046904135213,0.007054635792363712,0.002025313632133934,0.14767144933990928,0.001647352085007476,-0.037154863014414036
