time,Cl,Nu_upper_mean,Nu_lower_mean,Nu_upper_minus_lower
4.425,2.30133289,8.539051058745455,8.566338825383422,-0.027287766637966726
4.43,2.3372404,8.555704582621832,8.56804939378325,-0.012344811161417724
4.435,2.38105565,8.573147360885175,8.568641750208911,0.004505610676263316
4.44,2.43096831,8.591135437593268,8.568527340700346,0.02260809689292209
4.445,2.48486406,8.609375902599773,8.568141503521343,0.04123439907843007
4.45,2.54041567,8.627536339870078,8.56793058763587,0.05960575223420861
4.455,2.59522926,8.645306392069068,8.568374918775797,0.07693147329327132
4.46,2.64688436,8.662311306817193,8.569830660636544,0.09248064618064866
4.465,2.69321143,8.678240559178564,8.57266922586006,0.10557133331850288
4.47,2.73217379,8.692849041042562,8.577212850474282,0.11563619056827967
4.475,2.76215393,8.705958677054289,8.583753664858058,0.12220501219623081
4.48,2.78188512,8.717480114631496,8.592534407861345,0.12494570677015027
4.485,2.7906354,8.699134987136388,8.575782932303726,0.12335205483266165
4.49,2.78809504,8.679363663562565,8.561434536160105,0.11792912740246031
4.495,2.77443765,8.658352369960621,8.549427158550449,0.1089252114101722
4.5,2.75035335,8.636348030962083,8.53960960215063,0.09673842881145234
4.505,2.7168379,8.613651154060143,8.531745412143762,0.08190574191638156
4.51,2.67529353,8.590600746159554,8.525510016803805,0.06509072935574878
4.515,2.62738617,8.567539862806623,8.520516006518204,0.0470238562884191
4.52,2.57502943,8.54479246640766,8.516328018611372,0.02846444779628854
4.525,2.52025262,8.52265576269746,8.512472946075283,0.01018281662217646
4.53,2.46521904,8.501386799010048,8.508465938961738,-0.007079139951690294
4.535,2.4122046,8.481185850428393,8.503827327911926,-0.022641477483533734
4.54,2.36334013,8.462201259367315,8.497993614450495,-0.03579235508317957
4.545,2.32070856,8.444473737167437,8.490882289073094,-0.046408551905656736
4.55,2.28617329,8.428079574590331,8.482164491695032,-0.05408491710470109
4.555,2.26127987,8.413014887828469,8.47158480922052,-0.05856992139205097
4.56,2.24725662,8.399249789500391,8.458983817817224,-0.059734028316832166
4.565,2.24482683,8.414960398604409,8.472710097558142,-0.057749698953733386
4.57,2.25418442,8.431919410231066,8.484336098234365,-0.05241668800329968
4.575,2.27505486,8.450023947143185,8.493934298782408,-0.043910351639222966
4.58,2.30656074,8.469149240838838,8.501690383131685,-0.032541142292846104
4.585,2.34729099,8.48913248028379,8.507860074147912,-0.018727593864122483
4.59,2.39546143,8.509740979877666,8.512766024305177,-0.003025044427511503
4.595,2.44887605,8.530691249038798,8.51678556626766,0.013905682771136796
4.6,2.50518162,8.551656334242,8.520334080114187,0.03132225412781331
4.605,2.56184398,8.572288553121195,8.523853003879072,0.048435549242123344
4.61,2.61642835,8.592275834956515,8.527822130598379,0.06445370435813658
4.615,2.66657097,8.611242831098762,8.532586781190023,0.07865604990873898
4.62,2.71021067,8.628896713026682,8.538520259576671,0.09037645345001089
4.625,2.74561384,8.645016504299461,8.545959056508268,0.09905744779119274
4.63,2.77148013,8.659461245583973,8.55520145531376,0.1042597902702127
4.635,2.78688021,8.672179757593177,8.566472287904785,0.10570746968839195
4.64,2.79143872,8.683223435816476,8.579863996140425,0.10335943967605132
4.645,2.78519594,8.672973481932754,8.57584480544285,0.09712867648990375
4.65,2.76866406,8.661392478692116,8.573832467167351,0.087560011524765
4.655,2.7427051,8.64875115093075,8.573662906854565,0.0750882440761842
4.66,2.70852321,8.635367583004097,8.575086028347307,0.06028155465678964
4.665,2.66758096,8.621577318455211,8.577765565939913,0.0438117525152979
4.67,2.62156793,8.60770972496732,8.58130305621944,0.02640666874787989
4.675,2.57225465,8.594064421670017,8.585254127241821,0.00881029442819603
4.68,2.52150982,8.5809057937388,8.58915915496978,-0.008253361230979195
4.685,2.47124217,8.568449598276251,8.59253188171099,-0.024082283434738727
4.69,2.4233959,8.556862521208103,8.5949179380383,-0.038055416830196975
4.695,2.37979239,8.546254467567584,8.59583088692091,-0.04957641935332546
4.7,2.3420692,8.536659431465477,8.595077261611872,-0.05841783014639468
4.705,2.31176814,8.528120705511558,8.592434696636026,-0.06431399112446812
4.71,2.29014334,8.520639805581824,8.587686668147665,-0.06704686256584047
4.715,2.27813235,8.51420736104909,8.580721104849545,-0.0665137438004546
4.72,2.27631138,8.508807987171709,8.571529032632135,-0.06272104546042634
4.725,2.28482771,8.51841994623297,8.574267474153162,-0.0558475279201911
4.73,2.30338126,8.529029833731093,8.574988723895315,-0.045958890164222055
4.735,2.3312632,8.540570543946853,8.573941765436466,-0.033371221489613134
4.74,2.36725108,8.552916217403494,8.571463755708322,-0.018547538304828137
4.745,2.40987216,8.565878918393423,8.567945624829898,-0.0020667064364747745
4.75,2.45720996,8.579286846244738,8.563697749947684,0.015589096297054184
4.755,2.50721668,8.592750684531802,8.559366347893697,0.033384336638105694
4.76,2.55777954,8.60598593457369,8.555375356367733,0.05061057820595671
4.765,2.60638952,8.618760224288623,8.55211685205153,0.0666433722370936
4.77,2.65117389,8.630709973168546,8.54997557728651,0.08073439588203613
4.775,2.69010819,8.641585605881476,8.549269965365559,0.0923156405159169
4.78,2.72150394,8.651190194289928,8.550286776082572,0.1009034182073556
4.785,2.74403318,8.659395665530237,8.553266359074183,0.10612930645605445
4.79,2.7567684,8.666150967890102,8.558370208136036,0.10778075975406587
4.795,2.75920843,8.671494978361428,8.565641019294414,0.105853959067014
4.8,2.75145828,8.675543825120286,8.575040574478571,0.10050325064171517
4.805,2.73399743,8.658295332877199,8.566495886635062,0.09179944624213654
4.81,2.70773398,8.640198651972655,8.559763654918726,0.08043499705392954
4.815,2.67393842,8.621539701019444,8.554553670671577,0.06698603034786643
4.82,2.63419606,8.602618053923662,8.5505096265527,0.05210842737096222
4.825,2.59025229,8.583733320554728,8.547224118636672,0.03650920191805618
4.83,2.54389583,8.565166189558703,8.544263627448247,0.02090256211045549
4.835,2.49704471,8.547161669674681,8.541188824615075,0.005972845059606158
4.84,2.45153614,8.52997423043859,8.53749309101131,-0.007518860572719888
4.845,2.40911579,8.51369670423509,8.532857459648461,-0.019160755413372144
4.85,2.37142862,8.498377592690796,8.52694633554604,-0.02856874285524391
4.855,2.33986589,8.484161124561888,8.519524320194733,-0.03536319563284529
