side,x_m,x_mm,coh_f1,lag_phase_f1,xcorr_lag_f1,xcorr_corr_f1,coh_f2,lag_phase_f2,xcorr_lag_f2,xcorr_corr_f2
fin_z_min,0.0032937774999999975,3.2937774999999974,0.4121783609688627,-0.09951001270282027,-0.0749999999999984,-0.4838926632066168,0.9876076144350089,-0.0003351728005468668,-0.0749999999999984,-0.4838926632066168
fin_z_min,0.0036399224999999983,3.639922499999998,0.5267472195920317,-0.0964708868268016,0.01499999999999968,0.6219649496615528,0.9693687858925415,-0.015100902549566534,0.01499999999999968,0.6219649496615528
fin_z_min,0.003986067499999999,3.986067499999999,0.41029002898858197,-0.09892042087463952,-0.0749999999999984,-0.4804281339024644,0.9875800566506409,0.0003798932739866739,-0.0749999999999984,-0.4804281339024644
fin_z_min,0.004332212499999998,4.332212499999998,0.42829274824446695,-0.09901382741387217,-0.0749999999999984,-0.5088888580373856,0.9884025681148946,-0.0013632370298644865,-0.0749999999999984,-0.5088888580373856
fin_z_min,0.004678357499999999,4.678357499999999,0.7345936574183104,-0.08113921404645172,0.009999999999999787,0.49590269519061736,0.9411868712982211,-0.01137989898285487,0.009999999999999787,0.49590269519061736
fin_z_min,0.0050245025,5.0245025,0.4420158060054328,-0.09747493684451558,0.0,0.5191474231667029,0.9888055226206939,-0.0009739669152182817,0.0,0.5191474231667029
fin_z_min,0.005370647499999999,5.370647499999999,0.4812132259099957,-0.09621489052800465,0.004999999999999893,0.5564851455493932,0.9872848004004565,-0.0030470646552119675,0.004999999999999893,0.5564851455493932
fin_z_min,0.005716792499999998,5.716792499999998,0.5422830854029723,-0.06138877894166606,0.01499999999999968,0.30034037654323276,0.9293677786182853,-0.017499523922441303,0.01499999999999968,0.30034037654323276
fin_z_min,0.006062937499999997,6.062937499999997,0.5104664076454994,-0.09136245229867954,0.0,0.4627165544952909,0.9743741331778517,-0.0005005579847534766,0.0,0.4627165544952909
fin_z_min,0.006409082499999998,6.409082499999998,0.5800087999815136,-0.08603670608956969,0.0,0.4517479438887751,0.9681524668699931,-0.002802025351937404,0.0,0.4517479438887751
fin_z_min,0.006755227499999999,6.755227499999998,0.5510620728097132,-0.08610439432370513,0.0,0.4745521493624267,0.9706956119824504,-0.0015785168254353475,0.0,0.4745521493624267
fin_z_min,0.007101372499999998,7.101372499999998,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_min,0.007447517499999999,7.447517499999999,0.5346450729757224,-0.0783729926948016,0.004999999999999893,0.4045409046853202,0.9486455643445421,-0.003544307404115258,0.004999999999999893,0.4045409046853202
fin_z_min,0.0077936624999999995,7.7936625,0.4680313033665901,-0.07965143380676835,0.0,0.44168809364976425,0.9553880936353217,-0.002092080072118131,0.0,0.44168809364976425
fin_z_min,0.008139807499999999,8.139807499999998,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_min,0.008485952499999998,8.485952499999998,0.33469835085650823,-0.07352632038986195,0.004999999999999893,0.41930009787336014,0.9575294196972757,-0.0041986490347135285,0.004999999999999893,0.41930009787336014
fin_z_min,0.008832097499999997,8.832097499999996,0.28658653440818543,-0.08137584588221068,0.004999999999999893,0.4928045130953427,0.9758802875896204,-0.0029319205520557602,0.004999999999999893,0.4928045130953427
fin_z_min,0.009178242499999998,9.178242499999998,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_min,0.009524387499999998,9.524387499999998,0.17014461197546074,-0.0824206896901188,0.004999999999999893,0.5045042545052796,0.9879091507436366,-0.0047770630852218,0.004999999999999893,0.5045042545052796
fin_z_min,0.009870532499999998,9.870532499999998,0.20447165972108053,-0.09146541623306637,0.004999999999999893,0.564774184091205,0.9891023468432308,-0.003652085937234642,0.004999999999999893,0.564774184091205
fin_z_min,0.010216677499999998,10.216677499999998,0.17678433217039735,-0.09222925677108322,0.004999999999999893,0.5630408107957268,0.9764968354804152,-0.004601257267905395,0.004999999999999893,0.5630408107957268
fin_z_min,0.0105628225,10.5628225,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_min,0.010908967499999998,10.908967499999997,0.24820806538094112,-0.09051828693872821,0.004999999999999893,0.5750764271382005,0.9636928463233614,-0.003098737732248364,0.004999999999999893,0.5750764271382005
fin_z_min,0.011255112499999997,11.255112499999997,0.25617584368243923,-0.08210129513905245,0.004999999999999893,0.5338464493014043,0.9230537559039056,-0.0027449160331190995,0.004999999999999893,0.5338464493014043
fin_z_min,0.011601257499999997,11.601257499999997,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_min,0.011947402499999997,11.947402499999997,0.3032190178926381,-0.07492474381662952,-0.0749999999999984,-0.5176225893573574,0.9090692990616106,-0.0009868843626978578,-0.0749999999999984,-0.5176225893573574
fin_z_min,0.012293547499999998,12.293547499999999,0.29348385154071394,-0.062051004136407524,-0.0749999999999984,-0.47436959149295627,0.8611047976144937,-2.8790499660817557e-06,-0.0749999999999984,-0.47436959149295627
fin_z_min,0.012639692499999997,12.639692499999997,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_min,0.012985837499999998,12.985837499999999,0.30843763402938995,-0.05227953850134722,-0.0749999999999984,-0.4578914755594491,0.8434916761789033,0.0017785651266136835,-0.0749999999999984,-0.4578914755594491
fin_z_min,0.013331982499999999,13.331982499999999,0.30672454930744686,-0.04001850946908105,-0.3849999999999918,-0.42585979369495713,0.8001254620193534,0.002455892986658195,-0.3849999999999918,-0.42585979369495713
fin_z_min,0.013678127499999998,13.678127499999999,0.3136997120442315,-0.03789202959699693,-0.3849999999999918,-0.42704850438812186,0.8009787625305864,0.0026451114671689094,-0.3849999999999918,-0.42704850438812186
fin_z_max,-0.0136673275,-13.667327499999999,0.38563991488300103,-0.09952003416519375,-0.0799999999999983,-0.41017731368021637,0.9824241033927926,0.002937813430560571,-0.0799999999999983,-0.41017731368021637
fin_z_max,-0.0133211825,-13.3211825,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_max,-0.012975037499999998,-12.975037499999997,0.3856223492424508,-0.09952167297367669,-0.0799999999999983,-0.4101915173186882,0.9824353827957611,0.0028826875515502517,-0.0799999999999983,-0.4101915173186882
fin_z_max,-0.012628892499999999,-12.6288925,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_max,-0.0122827475,-12.2827475,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_max,-0.0119366025,-11.936602500000001,0.3855963859338417,-0.09952936861471885,-0.0799999999999983,-0.4094523249572159,0.9824397302809597,0.0027994815392795775,-0.0799999999999983,-0.4094523249572159
fin_z_max,-0.011590457499999998,-11.590457499999998,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_max,-0.011244312499999999,-11.2443125,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_max,-0.0108981675,-10.8981675,0.3855794208003094,-0.09954093292114602,-0.0799999999999983,-0.4077919658778293,0.9823983109494775,0.0028198309649870045,-0.0799999999999983,-0.4077919658778293
fin_z_max,-0.010552022500000001,-10.552022500000001,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_max,-0.010205877499999998,-10.205877499999998,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_max,-0.0098597325,-9.8597325,0.38554544329537577,-0.09955678148882172,-0.0799999999999983,-0.4067631455958086,0.9823616973757309,0.002888980526170551,-0.0799999999999983,-0.4067631455958086
fin_z_max,-0.0095135875,-9.5135875,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_max,-0.009167442500000001,-9.167442500000002,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_max,-0.008821297499999999,-8.821297499999998,0.38546485668583197,-0.0995725679168359,-0.0799999999999983,-0.4070562056387119,0.9823882707658455,0.002882681873834539,-0.0799999999999983,-0.4070562056387119
fin_z_max,-0.0084751525,-8.4751525,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_max,-0.0081290075,-8.1290075,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_max,-0.0077828625,-7.7828625,0.3853820385093743,-0.09959488903957914,-0.0799999999999983,-0.4077230575796812,0.9823977559682864,0.0028297275227183996,-0.0799999999999983,-0.4077230575796812
fin_z_max,-0.0074367175,-7.4367175,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_max,-0.0070905725,-7.0905724999999995,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_max,-0.0067444275000000005,-6.7444275000000005,0.3853437801594228,-0.09970898942188658,-0.0799999999999983,-0.4074654310942484,0.9822564149886737,0.003109038919056803,-0.0799999999999983,-0.4074654310942484
fin_z_max,-0.0063982825,-6.3982825,0.38572426628071166,-0.09997527978392586,-0.0799999999999983,-0.40802838877959374,0.9821370809035792,0.0034847757524148946,-0.0799999999999983,-0.40802838877959374
fin_z_max,-0.0060521375,-6.0521375,0.38537476630990714,-0.09985911103243911,-0.0799999999999983,-0.4082302568904244,0.9823588930984043,0.0033105973563522855,-0.0799999999999983,-0.4082302568904244
fin_z_max,-0.0057059925,-5.7059925,0.3860360107465482,-0.1001360039018923,-0.0799999999999983,-0.41137349895637226,0.9825679865788218,0.0032651930208772227,-0.0799999999999983,-0.41137349895637226
fin_z_max,-0.005359847500000001,-5.359847500000001,0.3858923712614986,-0.10021580948021919,-0.0799999999999983,-0.4164244911195563,0.9830634534260253,0.003518813397439523,-0.0799999999999983,-0.4164244911195563
fin_z_max,-0.005013702500000001,-5.013702500000001,0.38504969430574476,-0.09994673422388041,-0.0799999999999983,-0.41272480315942844,0.9828584780176859,0.003521876436446965,-0.0799999999999983,-0.41272480315942844
fin_z_max,-0.0046675575,-4.6675575,0.3862606924947505,-0.10055947182611248,-0.0799999999999983,-0.41872873493431556,0.9833974276061281,0.0040700467458201755,-0.0799999999999983,-0.41872873493431556
fin_z_max,-0.0043214125,-4.3214125,0.38589630776314443,-0.1006069262959607,-0.0799999999999983,-0.42447699854125115,0.9839373274475641,0.004439313486899877,-0.0799999999999983,-0.42447699854125115
fin_z_max,-0.003975267500000001,-3.9752675000000006,0.38465614374620455,-0.10001822264226852,-0.0799999999999983,-0.416251150302606,0.983275930660042,0.0036525129114764066,-0.0799999999999983,-0.416251150302606
fin_z_max,-0.003629122500000001,-3.6291225000000007,0.38639256658119686,-0.1009462149383616,-0.0799999999999983,-0.4323771345331294,0.9846631108996722,0.004352283375363793,-0.0799999999999983,-0.4323771345331294
fin_z_max,-0.0032829775,-3.2829775,0.38603085321312053,-0.10092291335143572,-0.0799999999999983,-0.4342877341393312,0.9849175722522902,0.004652683747997736,-0.0799999999999983,-0.4342877341393312
fin_z_max,-0.0029368325,-2.9368325,0.384273855373621,-0.10012830923523612,-0.0799999999999983,-0.4225365747667278,0.9839209389906636,0.0038276245156058683,-0.0799999999999983,-0.4225365747667278
fin_z_max,-0.002590687500000001,-2.590687500000001,0.38701468693376245,-0.10153032577547783,-0.0799999999999983,-0.44571480896514176,0.9858657293642547,0.004586801991204743,-0.0799999999999983,-0.44571480896514176
fin_z_max,-0.002244542500000001,-2.244542500000001,0.3885101605627949,-0.10213623503365432,-0.0799999999999983,-0.45367465516146666,0.9864372097962381,0.004319589619508384,-0.0799999999999983,-0.45367465516146666
fin_z_max,-0.0018983975000000002,-1.8983975000000002,0.3842433964128978,-0.1004915734200639,-0.0799999999999983,-0.4266451375546339,0.9843436425421873,0.00375782815159205,-0.0799999999999983,-0.4266451375546339
fin_z_max,-0.0015522525000000002,-1.5522525000000003,0.38871305570828996,-0.10260703004363621,-0.0799999999999983,-0.46186038547931096,0.9870046840980212,0.004619141366507479,-0.0799999999999983,-0.46186038547931096
fin_z_max,-0.0012061075000000011,-1.2061075000000012,0.38974207670760597,-0.10290803654732178,-0.0799999999999983,-0.4603307344017139,0.9868926013196982,0.004266491883944232,-0.0799999999999983,-0.4603307344017139
fin_z_max,-0.0008599625000000012,-0.8599625000000012,0.3838937576963068,-0.10064351955004774,-0.0799999999999983,-0.42730575255613984,0.9844758529547292,0.0034554543738833906,-0.0799999999999983,-0.42730575255613984
fin_z_max,-0.0005138175000000004,-0.5138175000000004,0.3937590873499883,-0.10421499444734195,0.0749999999999984,-0.4493479394327018,0.9859345653926499,0.0015231612787285872,0.0749999999999984,-0.4493479394327018
fin_z_max,-0.0001676725000000004,-0.1676725000000004,0.38430215329994705,-0.10112867106994482,-0.0799999999999983,-0.433183453506587,0.9850045178563107,0.003486333877136754,-0.0799999999999983,-0.433183453506587
fin_z_max,0.0001784724999999987,0.1784724999999987,0.4055444328455344,-0.10758611375035068,-0.0749999999999984,-0.45505170807975304,0.9849443031170396,-0.0005445419299774355,-0.0749999999999984,-0.45505170807975304
fin_z_max,0.0005246174999999987,0.5246174999999986,0.386199190949829,-0.10192324809548797,-0.0799999999999983,-0.44548549809286453,0.9860321307946199,0.003405008913234132,-0.0799999999999983,-0.44548549809286453
fin_z_max,0.0008707624999999995,0.8707624999999994,0.3859881161279215,-0.10186757625288363,-0.0799999999999983,-0.4433712868906285,0.9858952587773463,0.0026647103278165754,-0.0799999999999983,-0.4433712868906285
fin_z_max,0.0012169074999999994,1.2169074999999994,0.42105253855246333,-0.11243132060234849,0.0799999999999983,-0.5003267202127898,0.9859424551921323,-0.00188483121173557,0.0799999999999983,-0.5003267202127898
fin_z_max,0.0015630524999999985,1.5630524999999986,0.3924074853297589,-0.10397771595119715,0.0749999999999984,-0.45670564547686937,0.9865671178164322,0.00212545207558769,0.0749999999999984,-0.45670564547686937
fin_z_max,0.0019091974999999994,1.9091974999999994,0.38801363733414346,-0.10275039283449507,0.0749999999999984,-0.4520963707043466,0.9864800516669999,0.0019792092142062625,0.0749999999999984,-0.4520963707043466
