theta_rad,theta_deg,z_m,coh_f1,lag_phase_f1,xcorr_lag_f1,xcorr_corr_f1,coh_f2,lag_phase_f2,xcorr_lag_f2,xcorr_corr_f2
-2.110757564130642,-120.9375,-0.0057,0.39830257993498364,-0.10111682275018113,0.02999999999999936,-0.4088890578069106,0.9844924606469015,0.04897698629543947,0.02999999999999936,-0.4088890578069106
-2.0125827937059615,-115.31250000000001,-0.0057,0.3995551165473819,-0.1009736860228088,0.024999999999999467,-0.3967145837579306,0.9836088043841895,0.05005017892801091,0.024999999999999467,-0.3967145837579306
-1.9144080232812801,-109.6875,-0.0057,0.4010147424071361,-0.10092273805241826,0.024999999999999467,-0.3903529170377452,0.9834042324639132,0.05143537444478705,0.024999999999999467,-0.3903529170377452
-1.8162332528565992,-104.0625,-0.0057,0.40289482082441225,-0.1008159430867783,0.024999999999999467,-0.3780021569227495,0.9828794917742526,0.053474534465834535,0.024999999999999467,-0.3780021569227495
-1.718058482431918,-98.4375,-0.0057,0.4061114333107039,-0.10062978686926036,0.019999999999999574,-0.32876221155597424,0.9785733541359181,0.05809803640958567,0.019999999999999574,-0.32876221155597424
-1.6198837120072371,-92.8125,-0.0057,0.412116641583812,-0.10062801721405039,0.6149999999999869,-0.3438979545222516,0.9820652988793702,0.0709170831561056,0.6149999999999869,-0.3438979545222516
-1.521708941582556,-87.1875,-0.0057,0.4207950125634574,-0.10049357733611347,0.1449999999999969,-0.49410366909889664,0.9926239365374315,-0.06893011732726669,0.1449999999999969,-0.49410366909889664
-1.423534171157875,-81.5625,-0.0057,0.4332863425934216,-0.10002128481124441,-0.01499999999999968,-0.7080471323343456,0.9971613085817134,-0.06310899193693414,-0.01499999999999968,-0.7080471323343456
-1.325359400733194,-75.9375,-0.0057,0.44757645178427885,-0.0989003877138618,-0.01499999999999968,-0.8317535985990698,0.998128996575473,-0.05973375552455442,-0.01499999999999968,-0.8317535985990698
-1.227184630308513,-70.3125,-0.0057,0.4628645720844789,-0.09784027734694166,-0.019999999999999574,-0.8951790041363871,0.9983470910160002,-0.05862629560551471,-0.019999999999999574,-0.8951790041363871
-1.1290098598838318,-64.6875,-0.0057,0.48017191559670613,-0.09635436873989285,-0.019999999999999574,-0.9254172317851393,0.9982740618432933,-0.05790212660774035,-0.019999999999999574,-0.9254172317851393
-1.030835089459151,-59.0625,-0.0057,0.5116885680431932,-0.09383352586561995,0.05499999999999883,0.9362978159518215,0.9977101349507306,-0.05634202073747471,0.05499999999999883,0.9362978159518215
-0.93266031903447,-53.43750000000001,-0.0057,0.58994719837165,-0.08985501632491726,0.049999999999998934,0.9277917384419315,0.9949170590590813,-0.0516751421622107,0.049999999999998934,0.9277917384419315
-0.8344855486097889,-47.8125,-0.0057,0.7082003448540019,-0.08443006110883264,0.03999999999999915,0.812330048459387,0.9865553109230032,-0.04029670492576117,0.03999999999999915,0.812330048459387
-0.7363107781851077,-42.1875,-0.0057,0.7089697054580683,-0.07548929396854878,0.02999999999999936,0.6487406567975887,0.9853184558101061,-0.03184411760401795,0.02999999999999936,0.6487406567975887
-0.6381360077604266,-36.56249999999999,-0.0057,0.5355738321522743,-0.06463124853004412,0.034999999999999254,0.5589016128459656,0.9911745017393456,-0.03458224663027957,0.034999999999999254,0.5589016128459656
-0.5399612373357456,-30.937499999999996,-0.0057,0.3738565802585903,-0.05094358187874018,0.04499999999999904,0.5053592054790821,0.9985064653893398,-0.043652250229688945,0.04499999999999904,0.5053592054790821
-0.4417864669110647,-25.312500000000004,-0.0057,0.30227093732380395,-0.039694225004726164,0.05499999999999883,0.4993972624014739,0.9969811135867835,-0.054117216558055854,0.05499999999999883,0.4993972624014739
-0.34361169648638357,-19.687499999999996,-0.0057,0.26667986913598163,-0.030908845337284926,0.06499999999999861,0.5198414062283468,0.9766173732470381,-0.06400993035533759,0.06499999999999861,0.5198414062283468
-0.24543692606170264,-14.062500000000004,-0.0057,0.233832305524339,-0.02750462223617266,0.0749999999999984,0.5474063726402912,0.9330822889821244,-0.07290493462256378,0.0749999999999984,0.5474063726402912
-0.14726215563702172,-8.437500000000009,-0.0057,0.19954434506575427,-0.027575124126241843,0.0799999999999983,0.5673226367844187,0.893824224205595,0.07243030914813135,0.0799999999999983,0.5673226367844187
-0.04908738521234057,-2.812500000000003,-0.0057,0.14566058284712596,-0.029859481656235882,0.08999999999999808,0.5419949225063307,0.8241951451870662,0.062330107346757674,0.08999999999999808,0.5419949225063307
0.04908738521234057,2.812500000000003,-0.0057,0.10154864844758102,-0.033391942016991805,0.10499999999999776,0.45376325008699026,0.7585550555559047,0.04555318492748468,0.10499999999999776,0.45376325008699026
0.14726215563702172,8.437500000000009,-0.0057,0.08014363816729586,-0.03742217003797579,0.42999999999999083,0.4524476911320477,0.8387519513394921,0.02714846056655775,0.42999999999999083,0.4524476911320477
0.24543692606170264,14.062500000000004,-0.0057,0.07424077569788876,-0.0431259887526374,-0.019999999999999574,0.5587470331723235,0.9460859444157552,0.01832923617614784,-0.019999999999999574,0.5587470331723235
0.34361169648638357,19.687499999999996,-0.0057,0.09621072137889745,-0.05541378739068312,-0.01499999999999968,0.7062552577341458,0.9891169912487793,0.012930881089321096,-0.01499999999999968,0.7062552577341458
0.4417864669110647,25.312500000000004,-0.0057,0.18971982959135808,-0.06997034942254823,-0.01499999999999968,0.7961136532525878,0.9912191914275439,0.01629667173123424,-0.01499999999999968,0.7961136532525878
0.5399612373357456,30.937499999999996,-0.0057,0.35242196810467896,-0.07993811668657001,-0.019999999999999574,0.8504595111982025,0.9905077679442208,0.021944297401430266,-0.019999999999999574,0.8504595111982025
0.6381360077604266,36.56249999999999,-0.0057,0.5115584085164875,-0.08724183244099787,-0.024999999999999467,0.889114081530477,0.991780748230193,0.026724975302843644,-0.024999999999999467,0.889114081530477
0.7363107781851077,42.1875,-0.0057,0.54813265238441,-0.09276117035018187,-0.024999999999999467,0.9107135687147994,0.9934768741558189,0.02637410953117654,-0.024999999999999467,0.9107135687147994
0.8344855486097886,47.81249999999999,-0.0057,0.4949709756288311,-0.09953500105572623,-0.019999999999999574,0.9348789408251744,0.9954801100913451,0.018530681025256752,-0.019999999999999574,0.9348789408251744
0.9326603190344698,53.4375,-0.0057,0.42833987946041263,-0.10516352483457087,-0.009999999999999787,0.9535779971186797,0.9972750956683692,0.012420047459883983,-0.009999999999999787,0.9535779971186797
1.030835089459151,59.0625,-0.0057,0.39833624058055717,-0.10762411355233106,-0.009999999999999787,0.9624450398467669,0.9979628097583484,0.010926429034071476,-0.009999999999999787,0.9624450398467669
1.1290098598838316,64.68749999999999,-0.0057,0.3926543780382026,-0.10736784698008033,-0.009999999999999787,0.9594972547248285,0.9982260996935134,0.010788307056458439,-0.009999999999999787,0.9594972547248285
1.2271846303085128,70.31249999999999,-0.0057,0.3936453977293415,-0.10575262222439308,-0.009999999999999787,0.9477892310850738,0.9982115577882277,0.009822918803005204,-0.009999999999999787,0.9477892310850738
1.325359400733194,75.9375,-0.0057,0.3937133102208236,-0.10373743668635839,-0.009999999999999787,0.9213888678339509,0.9980647979400591,0.008234176044122783,-0.009999999999999787,0.9213888678339509
1.423534171157875,81.5625,-0.0057,0.39243782488969026,-0.10179764310710397,-0.004999999999999893,0.8893356393228808,0.9978665957137632,0.005445984947984148,-0.004999999999999893,0.8893356393228808
1.5217089415825562,87.18750000000001,-0.0057,0.3903391810748924,-0.10053669487676797,-0.004999999999999893,0.8444231867073959,0.9975603631596724,0.0031004965732393973,-0.004999999999999893,0.8444231867073959
1.619883712007237,92.81249999999999,-0.0057,0.38694633187550825,-0.09944430900134589,0.0,0.7998824115401605,0.9972136123097072,0.00024249291062247282,0.0,0.7998824115401605
1.718058482431918,98.4375,-0.0057,0.3847714676391004,-0.0987934284859358,0.0,0.773640007160681,0.9971204951062576,-0.0017993349946478301,0.0,0.773640007160681
1.8162332528565992,104.0625,-0.0057,0.3836642329165167,-0.0983622880654533,0.004999999999999893,0.7688157201210235,0.9972402787864395,-0.003183349675793835,0.004999999999999893,0.7688157201210235
1.9144080232812803,109.68750000000001,-0.0057,0.3831984953475575,-0.09818612840581703,0.004999999999999893,0.7623397288256054,0.997230819296195,-0.003992137086613207,0.004999999999999893,0.7623397288256054
