x,y,emode_1,emode_2,emode_3,emode_4,emode_5,emode_6,emode_7,emode_8,emode_9
0.006000841036,0.02789194137,1.232934294e-11,-3.6105204e-11,-4.073525467e-12,8.975671423e-11,-1.187116173e-11,2.497124233e-09,-2.268047888e-09,2.103098515e-09,2.706062401e-29
0.006000057794,0.02837818675,1.548937937e-12,-6.906784329e-11,-1.667202822e-11,9.247761189e-11,-1.43116726e-11,2.974029725e-09,-2.276709589e-09,2.549320028e-09,3.207858038e-29
0.006000000052,0.02884875238,-3.679922816e-12,-8.869423714e-11,-2.463361402e-11,8.351009285e-11,2.298557429e-11,3.886325304e-09,-2.101299122e-09,3.326149648e-09,4.05580807e-29
0.006000000052,0.02837399207,-2.100110124e-11,-9.457313139e-11,-3.027354878e-11,8.481050224e-11,1.122608528e-11,4.597724933e-09,-2.13526391e-09,4.003452818e-09,4.820148644e-29
0.006000000052,0.02884353511,-1.927503666e-11,-7.627817595e-11,-2.806102586e-11,8.853379725e-11,-2.894048768e-11,3.545603505e-09,-2.308588015e-09,3.085613284e-09,3.814105826e-29
0.006000000052,0.02931378596,-4.048921691e-11,-7.929893236e-11,-3.806922352e-11,8.500290376e-11,-4.727177452e-11,4.206761261e-09,-2.349958365e-09,3.674333804e-09,4.481742068e-29
0.006000000052,0.02978978492,-4.047020324e-11,-9.708872021e-11,-3.798907698e-11,8.329454595e-11,-3.76447795e-12,5.416914851e-09,-2.185071444e-09,4.708622977e-09,5.620818882e-29
0.006000000052,0.02930584922,-5.963156707e-11,-1.032367671e-10,-4.680738994e-11,8.266878184e-11,-2.122864032e-11,6.402131147e-09,-2.251659221e-09,5.532521266e-09,6.558523251e-29
0.006000000052,0.02977425791,-5.788096442e-11,-8.710852745e-11,-4.608126407e-11,8.515311504e-11,-6.715740319e-11,4.968077602e-09,-2.391235879e-09,4.346599418e-09,5.243450115e-29
0.006000000052,0.03025994636,-7.321375998e-11,-9.941733359e-11,-5.334821861e-11,8.794078191e-11,-9.001257596e-11,5.881645224e-09,-2.445885767e-09,5.078180286e-09,6.07676794e-29
0.006000000052,0.03073573112,-7.741121241e-11,-1.143656682e-10,-5.484208139e-11,8.501411713e-11,-4.174407128e-11,7.581623885e-09,-2.339775e-09,6.472466399e-09,7.632042012e-29
0.006000000052,0.03024306148,-9.40809247e-11,-1.283389719e-10,-6.203535214e-11,9.127223234e-11,-6.690043085e-11,9.01198975e-09,-2.449471722e-09,7.537187344e-09,8.852814181e-29
0.006000000052,0.0307107009,-8.716857701e-11,-1.147996468e-10,-5.994091129e-11,9.264865028e-11,-1.160159341e-10,6.963947074e-09,-2.509184166e-09,5.901816579e-09,7.017071878e-29
0.006000000052,0.03121387027,-9.993863292e-11,-1.312856016e-10,-6.55524366e-11,9.982213409e-11,-1.448920056e-10,8.251298112e-09,-2.56909069e-09,6.804904832e-09,8.050154029e-29
0.006000000052,0.0311760772,-1.070873854e-10,-1.469095556e-10,-6.553150798e-11,1.061465615e-10,-9.556969534e-11,1.074404319e-08,-2.560161302e-09,8.778186861e-09,1.027538615e-28
0.006000000052,0.0259817373,-1.099172192e-10,-1.45797131e-10,-6.751756356e-11,1.141657299e-10,-1.736728751e-10,9.794282187e-09,-2.571142895e-09,7.860518882e-09,9.248890875e-29
0.006000000052,0.02647758275,1.310003628e-11,-2.442337993e-11,-1.420181652e-11,5.555608275e-11,-1.594613425e-11,1.273127787e-09,-2.361415692e-09,8.22321835e-10,1.288456408e-29
0.006000000052,0.02693507448,7.454101526e-11,-1.33790337e-10,7.692324889e-12,1.288181626e-10,1.020250191e-11,1.527178617e-09,-2.333229603e-09,1.426179614e-09,1.947955096e-29
0.006002504844,0.02644487657,1.487915168e-10,-2.316236234e-10,4.834507293e-11,2.209649006e-10,2.483231714e-11,1.844450049e-09,-2.285659127e-09,1.921608418e-09,2.489161809e-29
0.006000000052,0.02692041546,-5.70586424e-11,-7.409210152e-11,-7.798240951e-11,3.434987024e-12,-2.963632547e-11,1.334261461e-09,-2.765746012e-09,1.942039408e-10,6.696938987e-30
0.00600135792,0.02741273679,9.913700475e-11,-1.623818386e-10,1.985639148e-11,1.811989128e-10,-2.935637015e-11,1.578111827e-09,-2.737422345e-09,1.571190597e-09,2.167357563e-29
0.006000185385,0.02788082696,7.07913451e-11,-1.710721793e-10,2.673001204e-12,1.552047979e-10,-7.319617398e-12,2.221443915e-09,-2.435571939e-09,2.111596537e-09,2.730709374e-29
