pair,freq_Hz,coherence
Uy_probe_0,0.78125,0.9832550988
Uy_probe_0,1.5625,0.9896266073
Uy_probe_0,2.34375,0.9839935624
Uy_probe_0,3.125,0.9944159483
Uy_probe_0,3.90625,0.9767840912
Uy_probe_0,4.6875,0.9502231824
Uy_probe_0,5.46875,0.9951091284
Uy_probe_0,6.25,0.9966117512
Uy_probe_0,7.03125,0.9363456702
Uy_probe_0,7.8125,0.9939275343
Uy_probe_0,8.59375,0.9863038955
Uy_probe_0,9.375,0.9797331663
Uy_probe_0,10.15625,0.9662451169
Uy_probe_0,10.9375,0.930863884
Uy_probe_0,11.71875,0.9905686967
Uy_probe_0,12.5,0.9882546655
Uy_probe_0,13.28125,0.9927019495
Uy_probe_0,14.0625,0.9937224782
Uy_probe_0,14.84375,0.9907949985
Uy_probe_0,15.625,0.9842686158
Uy_probe_0,16.40625,0.9710676709
Uy_probe_0,17.1875,0.9435622587
Uy_probe_0,17.96875,0.92380083
Uy_probe_0,18.75,0.97710307
Uy_probe_0,19.53125,0.9977379228
Uy_probe_0,20.3125,0.9892416681
Uy_probe_0,21.09375,0.951520859
Uy_probe_0,21.875,0.8703745826
Uy_probe_0,22.65625,0.896996287
Uy_probe_0,23.4375,0.9024400514
Uy_probe_0,24.21875,0.8447719056
Uy_probe_0,25,0.7550128603
Uy_probe_0,25.78125,0.5841401129
Uy_probe_0,26.5625,0.5942718773
Uy_probe_0,27.34375,0.5230909122
Uy_probe_0,28.125,0.6100904498
Uy_probe_0,28.90625,0.5185504158
Uy_probe_0,29.6875,0.7931826391
Uy_probe_0,30.46875,0.4026267155
Uy_probe_0,31.25,0.7056963101
Uy_probe_0,32.03125,0.7063966748
Uy_probe_0,32.8125,0.8047887886
Uy_probe_0,33.59375,0.2129088954
Uy_probe_0,34.375,0.5529020597
Uy_probe_0,35.15625,0.8316513984
Uy_probe_0,35.9375,0.2661534843
Uy_probe_0,36.71875,0.6588299857
Uy_probe_0,37.5,0.2477315193
Uy_probe_0,38.28125,0.6288440229
Uy_probe_0,39.0625,0.07955010806
Uy_probe_0,39.84375,0.5058716317
Uy_probe_0,40.625,0.04550526353
Uy_probe_0,41.40625,0.9632193679
Uy_probe_0,42.1875,0.2925308163
Uy_probe_0,42.96875,0.6438401361
Uy_probe_0,43.75,0.5772865812
Uy_probe_0,44.53125,0.9953249691
Uy_probe_0,45.3125,0.07966612628
Uy_probe_0,46.09375,0.3919347954
Uy_probe_0,46.875,0.8303133157
Uy_probe_0,47.65625,0.7408494218
Uy_probe_0,48.4375,0.4639475841
Uy_probe_0,49.21875,0.5955183734
Uy_probe_0,50,0.6824943554
