pair,lag_samples,lag_s,te_bits,surr_mean_bits,surr_p95_bits,excess_te_bits
T_3D->Ux_3D,21,0.21,0.1372298458,0.09312444834,0.1072024672,0.04410539745
T_3D->Ux_3D,22,0.22,0.1360166312,0.09716548723,0.1127488045,0.03885114402
T_3D->Ux_3D,23,0.23,0.1373785246,0.09484855861,0.1107027736,0.042529966
T_3D->Ux_3D,24,0.24,0.1406702362,0.09481512054,0.1129790255,0.04585511569
T_3D->Ux_3D,25,0.25,0.1422658265,0.09739164725,0.112612203,0.0448741792
T_3D->Ux_3D,26,0.26,0.1401065731,0.09526988267,0.1115238953,0.04483669042
T_3D->Ux_3D,27,0.27,0.1370756003,0.09673766273,0.1139232673,0.04033793754
T_3D->Ux_3D,28,0.28,0.150988641,0.09734408017,0.1133775719,0.05364456084
T_3D->Ux_3D,29,0.29,0.1399714751,0.09648328778,0.1154424046,0.04348818727
T_3D->Ux_3D,30,0.3,0.1458370521,0.09696340799,0.1110044943,0.04887364411
T_3D->Ux_3D,31,0.31,0.1348674571,0.100383336,0.116096259,0.03448412109
T_3D->Ux_3D,32,0.32,0.1299904829,0.09760935382,0.1127689109,0.03238112912
T_3D->Ux_3D,33,0.33,0.1154134146,0.09559155527,0.1126198275,0.0198218593
T_3D->Ux_3D,34,0.34,0.1028834986,0.0982476583,0.1141329534,0.004635840282
T_3D->Ux_3D,35,0.35,0.08939326358,0.09865438758,0.115131555,0
T_3D->Ux_3D,36,0.36,0.1028715409,0.09880309129,0.1151548557,0.004068449574
T_3D->Ux_3D,37,0.37,0.1193173086,0.09997692566,0.1148654048,0.01934038295
T_3D->Ux_3D,38,0.38,0.1163192708,0.09846836815,0.1204328784,0.01785090268
T_3D->Ux_3D,39,0.39,0.1382529635,0.0973451899,0.1138623685,0.04090777356
T_3D->Ux_3D,40,0.4,0.1583727754,0.09963195586,0.1180022264,0.0587408195
Uy_1D->T_1D,1,0.01,0.00415714914,0.0186865351,0.02031516873,0
Uy_1D->T_1D,2,0.02,0.004304398949,0.01868623569,0.02057834176,0
Uy_1D->T_1D,3,0.03,0.00445442696,0.01873281412,0.02046481913,0
Uy_1D->T_1D,4,0.04,0.004607318441,0.01860898306,0.02028312441,0
Uy_1D->T_1D,5,0.05,0.004763162575,0.0188183773,0.02036605871,0
Uy_1D->T_1D,6,0.06,0.004922052702,0.01875909525,0.02089242656,0
Uy_1D->T_1D,7,0.07,0.005084086589,0.01893933083,0.02076816451,0
Uy_1D->T_1D,8,0.08,0.005249366706,0.01890996448,0.02090196586,0
Uy_1D->T_1D,9,0.09,0.005418000542,0.01908729714,0.0208344654,0
Uy_1D->T_1D,10,0.1,0.005590100933,0.01911179068,0.02060575704,0
Uy_1D->T_1D,11,0.11,0.005765786425,0.01911288187,0.02071787765,0
Uy_1D->T_1D,12,0.12,0.005945181666,0.01917814991,0.02108882639,0
Uy_1D->T_1D,13,0.13,0.006128417837,0.01926977576,0.02119860223,0
Uy_1D->T_1D,14,0.14,0.006315633112,0.01903529468,0.02101520157,0
Uy_1D->T_1D,15,0.15,0.00650697317,0.01910821936,0.02072928739,0
Uy_1D->T_1D,16,0.16,0.006702591744,0.01921268601,0.02086539171,0
Uy_1D->T_1D,17,0.17,0.006902651233,0.01932364576,0.02106287479,0
Uy_1D->T_1D,18,0.18,0.007107323366,0.01933164421,0.0211160163,0
Uy_1D->T_1D,19,0.19,0.01550603843,0.01927733126,0.02107940978,0
Uy_1D->T_1D,20,0.2,0.01001414235,0.01939606444,0.02160749573,0
Uy_1D->T_1D,21,0.21,0.01031660426,0.01952569259,0.02111146504,0
Uy_1D->T_1D,22,0.22,0.01063016088,0.01942398637,0.02138023896,0
Uy_1D->T_1D,23,0.23,0.01095568515,0.01955235154,0.02154581581,0
Uy_1D->T_1D,24,0.24,0.01129417123,0.01944108863,0.02117422342,0
Uy_1D->T_1D,25,0.25,0.01164675986,0.01946972088,0.02122887198,0
Uy_1D->T_1D,26,0.26,0.01201477102,0.01966222333,0.02151926041,0
Uy_1D->T_1D,27,0.27,0.01239974663,0.01946725675,0.0210353306,0
Uy_1D->T_1D,28,0.28,0.01819652096,0.01975128923,0.0221878939,0
Uy_1D->T_1D,29,0.29,0.008931233052,0.01974660873,0.02174762098,0
Uy_1D->T_1D,30,0.3,0.009189902563,0.01982018978,0.02181353085,0
Uy_1D->T_1D,31,0.31,0.009455828837,0.0199003492,0.02208288391,0
Uy_1D->T_1D,32,0.32,0.00972937657,0.01987926591,0.0216669682,0
Uy_1D->T_1D,33,0.33,0.01001093873,0.01971636266,0.0216693836,0
Uy_1D->T_1D,34,0.34,0.01030093956,0.01990466621,0.02188511509,0
Uy_1D->T_1D,35,0.35,0.01059983804,0.01999627888,0.02203683488,0
Uy_1D->T_1D,36,0.36,0.01090813181,0.0201292933,0.02278636218,0
Uy_1D->T_1D,37,0.37,0.01122636165,0.02017377631,0.02224788903,0
Uy_1D->T_1D,38,0.38,0.01155511668,0.02037186234,0.02208182439,0
Uy_1D->T_1D,39,0.39,0.01189504035,0.0203702604,0.02224177638,0
Uy_1D->T_1D,40,0.4,0.01224683738,0.02021796943,0.02207638661,0
