phase_bin,phase_deg,x_m,x_mm,Nu_fin_z_min,Nu_fin_z_max
0,11.25,0.0005246174999999987,0.5246174999999986,5.3508450869973,5.354506191356389
0,11.25,0.0008707624999999995,0.8707624999999994,4.683454394580612,4.697109519752217
0,11.25,0.0012169074999999994,1.2169074999999994,1.1724768716701224,1.1730579095094775
0,11.25,0.0015630524999999985,1.5630524999999986,3.8660689498734757,3.8669911018507097
0,11.25,0.0019091974999999994,1.9091974999999994,4.790757470701326,4.799213930139314
0,11.25,0.0022553425,2.2553425000000002,0.5236374673753751,0.5236038212812398
0,11.25,0.0026014874999999993,2.6014874999999993,3.742104865839531,3.7406991779356527
0,11.25,0.0029476324999999984,2.9476324999999983,4.160326097188783,4.141574878694159
0,11.25,0.0032937774999999975,3.2937774999999974,3.3196633119274797,3.293084258751658
0,11.25,0.0036399224999999983,3.639922499999998,0.35888548312328333,0.357598998212937
0,11.25,0.003986067499999999,3.986067499999999,3.7211299697914417,3.7220805273935054
0,11.25,0.004332212499999998,4.332212499999998,3.1590072217007275,3.1565635936940537
0,11.25,0.004678357499999999,4.678357499999999,0.1484971293837155,0.14799132772743173
0,11.25,0.0050245025,5.0245025,3.047191665086399,3.0475220381229104
0,11.25,0.005370647499999999,5.370647499999999,2.6305087379968963,2.628085598130372
0,11.25,0.005716792499999998,5.716792499999998,0.30655870724522777,0.30416233629109807
0,11.25,0.006062937499999997,6.062937499999997,2.2049070042117163,2.2015105063258327
0,11.25,0.006409082499999998,6.409082499999998,2.3427784117669983,2.3421648491218523
0,11.25,0.006755227499999999,6.755227499999998,3.1207919295064794,3.1153734046396617
0,11.25,0.007101372499999998,7.101372499999998,nan,nan
0,11.25,0.007447517499999999,7.447517499999999,2.8297057574540534,2.8192907458202687
0,11.25,0.0077936624999999995,7.7936625,3.226921859383475,3.2176948513483494
0,11.25,0.008139807499999999,8.139807499999998,nan,nan
0,11.25,0.008485952499999998,8.485952499999998,2.936532762635234,2.9219207074214113
0,11.25,0.008832097499999997,8.832097499999996,3.2933977312919027,3.278462842099846
0,11.25,0.009178242499999998,9.178242499999998,nan,nan
0,11.25,0.009524387499999998,9.524387499999998,3.008884499739136,2.9849036103328133
0,11.25,0.009870532499999998,9.870532499999998,3.338825463535238,3.312058920923299
0,11.25,0.010216677499999998,10.216677499999998,3.086055568165277,3.042056410627451
0,11.25,0.0105628225,10.5628225,nan,nan
0,11.25,0.010908967499999998,10.908967499999997,3.414979934348099,3.3640847339956212
0,11.25,0.011255112499999997,11.255112499999997,3.2266384925786227,3.144301936031652
0,11.25,0.011601257499999997,11.601257499999997,nan,nan
0,11.25,0.011947402499999997,11.947402499999997,3.5996072779702173,3.4998691870756677
0,11.25,0.012293547499999998,12.293547499999999,3.5563511296817594,3.394965401554971
0,11.25,0.012639692499999997,12.639692499999997,nan,nan
0,11.25,0.012985837499999998,12.985837499999999,4.253780747871074,4.026095696048288
0,11.25,0.013331982499999999,13.331982499999999,5.398504551308891,4.9333967101388305
0,11.25,0.013678127499999998,13.678127499999999,3.1881915647127212,2.9847775696883585
1,33.75,-0.0136673275,-13.667327499999999,12.991302338072792,12.99160668971254
1,33.75,-0.0133211825,-13.3211825,nan,nan
1,33.75,-0.012975037499999998,-12.975037499999997,21.773711347662946,21.774448966174354
1,33.75,-0.012628892499999999,-12.6288925,nan,nan
1,33.75,-0.0122827475,-12.2827475,nan,nan
1,33.75,-0.0119366025,-11.936602500000001,15.447637441872851,15.448054041571613
1,33.75,-0.011590457499999998,-11.590457499999998,nan,nan
1,33.75,-0.011244312499999999,-11.2443125,nan,nan
1,33.75,-0.0108981675,-10.8981675,12.04687031209933,12.046538578052079
1,33.75,-0.010552022500000001,-10.552022500000001,nan,nan
