pair,source,target,category,lag_s,te_bits,surrogate_mean_bits,surrogate_p95_bits,surrogate_p99_bits,excess_over_p95_bits,z_score,p_empirical,significant_p95,significant_p99,side,x_m,x_mm
Cl->fin_z_min_xbin_11,Cl,fin_z_min_xbin_11,fin_x_bin,0.0799999999999983,0.27781491820904164,0.07472615399040866,0.14796728550195484,0.1584415760366862,0.1298476327070868,6.892914389273658,0.006211180124223602,True,True,fin_z_min,0.005197574999999999,5.197575
Cl->fin_z_min_xbin_12,Cl,fin_z_min_xbin_12,fin_x_bin,0.0799999999999983,0.22901239921619979,0.07104141128135218,0.11788280965547827,0.1508794722857481,0.11112958956072151,6.1042976423172695,0.006211180124223602,True,True,fin_z_min,0.006668691249999999,6.668691249999999
Cl->fin_z_min_xbin_13,Cl,fin_z_min_xbin_13,fin_x_bin,0.0799999999999983,0.3199959051649139,0.09049722600522765,0.16975821325558985,0.21598061342742564,0.15023769190932404,6.210574827188269,0.006211180124223602,True,True,fin_z_min,0.008659024999999997,8.659024999999998
Cl->fin_z_min_xbin_14,Cl,fin_z_min_xbin_14,fin_x_bin,0.0799999999999983,0.3789222620996717,0.11005137416410615,0.190676157972796,0.24653798829328114,0.18824610412687573,6.6330270011406745,0.006211180124223602,True,True,fin_z_min,0.010332059166666664,10.332059166666664
Cl->fin_z_min_xbin_15,Cl,fin_z_min_xbin_15,fin_x_bin,0.0799999999999983,0.3640536957609053,0.12153552154531089,0.23083003021067372,0.28810569344888054,0.13322366555023157,5.364845511521538,0.006211180124223602,True,True,fin_z_min,0.011832020833333332,11.832020833333331
Cl->fin_z_min_xbin_16,Cl,fin_z_min_xbin_16,fin_x_bin,0.0799999999999983,0.24755915714883997,0.09295464265490808,0.1471601300926255,0.19618169994586387,0.10039902705621448,5.06278751584472,0.006211180124223602,True,True,fin_z_min,0.013331982499999999,13.331982499999999
Cl->fin_z_max_xbin_01,Cl,fin_z_max_xbin_01,fin_x_bin,0.0799999999999983,0.20094838410312785,0.055549484081815634,0.09761033909112019,0.1318657281093175,0.10333804501200766,6.107592991405144,0.006211180124223602,True,True,fin_z_max,-0.01236928375,-12.36928375
Cl->fin_z_max_xbin_02,Cl,fin_z_max_xbin_02,fin_x_bin,0.03999999999999915,0.2595450348802814,0.07161585204767067,0.16222927063659415,0.20681413317474262,0.09731576424368726,4.271004820710051,0.006211180124223602,True,True,fin_z_max,-0.00830208,-8.30208
Cl->fin_z_max_xbin_03,Cl,fin_z_max_xbin_03,fin_x_bin,0.0799999999999983,0.20197692354264826,0.059769422506634196,0.10807963365578463,0.13376655918239286,0.09389728988686363,5.794952830661951,0.006211180124223602,True,True,fin_z_max,-0.005879065,-5.879065
Cl->fin_z_max_xbin_04,Cl,fin_z_max_xbin_04,fin_x_bin,0.03999999999999915,0.27776124543996555,0.0732281422013618,0.17285861635679775,0.21340293957425926,0.1049026290831678,4.359059534669276,0.006211180124223602,True,True,fin_z_max,-0.004494485,-4.494485
Cl->fin_z_max_xbin_05,Cl,fin_z_max_xbin_05,fin_x_bin,0.0799999999999983,0.21148208826335685,0.05901172464337538,0.11508548836051342,0.142227561186023,0.09639659990284342,5.693500491970057,0.006211180124223602,True,True,fin_z_max,-0.0031099050000000005,-3.1099050000000004
Cl->fin_z_max_xbin_06,Cl,fin_z_max_xbin_06,fin_x_bin,0.03999999999999915,0.2868212419560417,0.08403439530550598,0.2021537103371469,0.22622890081244246,0.08466753161889479,3.7090242950197245,0.006211180124223602,True,True,fin_z_max,-0.0017253250000000006,-1.7253250000000007
Cl->fin_z_max_xbin_07,Cl,fin_z_max_xbin_07,fin_x_bin,0.03999999999999915,0.2669655847194139,0.06947122904032436,0.1559254151297949,0.18912279700616252,0.11104016958961899,4.6222022780931225,0.006211180124223602,True,True,fin_z_max,-0.0003407450000000008,-0.3407450000000008
Cl->fin_z_max_xbin_08,Cl,fin_z_max_xbin_08,fin_x_bin,0.0799999999999983,0.22086204641318638,0.058156807514002665,0.11977688807893039,0.14437353175877862,0.10108515833425599,5.780659486710268,0.006211180124223602,True,True,fin_z_max,0.001043834999999999,1.043834999999999
Cl->fin_z_max_xbin_09,Cl,fin_z_max_xbin_09,fin_x_bin,0.0799999999999983,0.22251422139463303,0.06036420099516273,0.11991992019032088,0.14496513781400713,0.10259430120431215,5.390404442911421,0.006211180124223602,True,True,fin_z_max,0.0024284149999999993,2.4284149999999993
Cl->fin_z_max_xbin_10,Cl,fin_z_max_xbin_10,fin_x_bin,0.0799999999999983,0.2477927898671526,0.05934325063858799,0.11112038055424926,0.1533927451783487,0.13667240931290336,6.5539592508592595,0.006211180124223602,True,True,fin_z_max,0.0038129949999999983,3.812994999999998
Cl->fin_z_max_xbin_11,Cl,fin_z_max_xbin_11,fin_x_bin,0.0799999999999983,0.2677084681420753,0.07832091930791049,0.14708619701044384,0.19476801217397702,0.12062227113163143,5.580931368592639,0.006211180124223602,True,True,fin_z_max,0.005197574999999999,5.197575
Cl->fin_z_max_xbin_12,Cl,fin_z_max_xbin_12,fin_x_bin,0.0799999999999983,0.1990985448963068,0.07120152904592184,0.1260483078184007,0.14176596934522206,0.07305023707790609,4.854742415982125,0.006211180124223602,True,True,fin_z_max,0.006668691249999999,6.668691249999999
Cl->fin_z_max_xbin_13,Cl,fin_z_max_xbin_13,fin_x_bin,0.0799999999999983,0.20477137975236326,0.09755926210329718,0.14843688917715955,0.17624537695657752,0.056334490575203705,3.3521759456149094,0.006211180124223602,True,True,fin_z_max,0.008659024999999997,8.659024999999998
