pair,source,target,category,lag_s,te_bits,surrogate_mean_bits,surrogate_p95_bits,surrogate_p99_bits,excess_over_p95_bits,z_score,p_empirical,significant_p95,significant_p99
POD_U_1->Cl,POD_U_1,Cl,modal_reverse,0.3200000000000003,0.6408608690478734,0.13386748863993345,0.21890345193301264,0.24591665314948874,0.4219574171148608,8.635924185704317,0.00398406374501992,True,True
Cl->POD_U_2,Cl,POD_U_2,modal,0.3200000000000003,0.6712755489631962,0.1321431059810811,0.2069799171082557,0.2149022217515757,0.4642956318549405,10.361902639042723,0.00398406374501992,True,True
POD_U_2->Cl,POD_U_2,Cl,modal_reverse,0.3200000000000003,0.4502598350769056,0.13064658453806646,0.2122557890525609,0.24554644792525238,0.2380040460243447,5.636019491174981,0.00398406374501992,True,True
Cl->POD_U_3,Cl,POD_U_3,modal,0.3200000000000003,0.6329959085395992,0.06325438872645474,0.09006816007966974,0.09354035274765879,0.5429277484599294,44.4788424121439,0.00398406374501992,True,True
POD_U_3->Cl,POD_U_3,Cl,modal_reverse,0.3200000000000003,0.5979472496789989,0.037773229464591294,0.05795694724379534,0.06425728442641139,0.5399903024352036,52.59106723034019,0.00398406374501992,True,True
Cl->POD_U_4,Cl,POD_U_4,modal,0.3200000000000003,0.16772407753157903,0.06262423877713005,0.0808384280942687,0.09375765359945776,0.08688564943731034,9.079066564697412,0.00398406374501992,True,True
POD_U_4->Cl,POD_U_4,Cl,modal_reverse,0.3200000000000003,0.09179596691245163,0.03975761053574387,0.05873797304120852,0.0703956245939678,0.03305799387124311,4.854349964000046,0.00398406374501992,True,True
Cl->POD_T_1,Cl,POD_T_1,modal,0.08000000000000007,0.022677100213528062,0.08026403559041968,0.15071398221882504,0.17339951801387182,-0.12803688200529698,-1.6281570871701638,1.0,False,False
POD_T_1->Cl,POD_T_1,Cl,modal_reverse,0.08000000000000007,0.14909270679161243,0.08861543837307516,0.1651634934034434,0.19694088661437034,-0.01607078661183098,1.640298321895578,0.08764940239043825,False,False
Cl->POD_T_2,Cl,POD_T_2,modal,0.3200000000000003,0.6988990538205124,0.13185203926781128,0.21172431735175073,0.2240692746181769,0.4871747364687617,10.217369288708435,0.00398406374501992,True,True
POD_T_2->Cl,POD_T_2,Cl,modal_reverse,0.040000000000000036,1.2167636898219392,0.2976945740121443,0.6187409111890643,0.7603048316991939,0.5980227786328749,6.237719426523914,0.00398406374501992,True,True
Cl->POD_T_3,Cl,POD_T_3,modal,0.16000000000000014,0.16043911898672772,0.04563722876573668,0.08309243326254491,0.10698764971501643,0.07734668572418281,6.607857781300885,0.00398406374501992,True,True
POD_T_3->Cl,POD_T_3,Cl,modal_reverse,0.3200000000000003,0.09446660025630849,0.04072677488758782,0.0687104398513866,0.08732677900385906,0.025756160404921888,3.6158733050141088,0.00398406374501992,True,True
Cl->POD_T_4,Cl,POD_T_4,modal,0.3200000000000003,0.6832053686045453,0.08190250700464247,0.1031481351942648,0.11435319731435181,0.5800572334102805,48.16815919137893,0.00398406374501992,True,True
POD_T_4->Cl,POD_T_4,Cl,modal_reverse,0.3200000000000003,0.6188100416460196,0.045392275063263925,0.0750472287575083,0.1049971024860367,0.5437628128885112,33.69225243242843,0.00398406374501992,True,True
Cl->POD_joint_1,Cl,POD_joint_1,modal,0.3200000000000003,0.1955795105888531,0.11935857339770312,0.21381397577969966,0.22861446668502072,-0.018234465190846566,1.3513887667712807,0.099601593625498,False,False
POD_joint_1->Cl,POD_joint_1,Cl,modal_reverse,0.16000000000000014,0.2641212139626954,0.08586306694012348,0.15915823525425182,0.188654640458472,0.10496297870844357,4.264745225401116,0.00398406374501992,True,True
Cl->POD_joint_2,Cl,POD_joint_2,modal,0.3200000000000003,0.6629051131562912,0.12626360880300802,0.20897703367135986,0.23571654007706852,0.4539280794849313,9.144316338191645,0.00398406374501992,True,True
POD_joint_2->Cl,POD_joint_2,Cl,modal_reverse,0.040000000000000036,1.1894234259926326,0.3096498153658398,0.6424683543665408,0.7729835471666192,0.5469550716260918,5.944578659771428,0.00398406374501992,True,True
Cl->POD_joint_3,Cl,POD_joint_3,modal,0.3200000000000003,0.16367233236126663,0.055065873331227214,0.07191678691729415,0.07810872684302171,0.09175554544397248,9.958276539415557,0.00398406374501992,True,True
POD_joint_3->Cl,POD_joint_3,Cl,modal_reverse,0.3200000000000003,0.3032194853071584,0.038139346529181155,0.07048858054120884,0.09150857184576508,0.2327309047659496,16.835777331529098,0.00398406374501992,True,True
Cl->POD_joint_4,Cl,POD_joint_4,modal,0.3200000000000003,0.5996549025704238,0.052484755335659584,0.07360837897294555,0.08343986920903451,0.5260465235974782,40.60918749174767,0.00398406374501992,True,True
POD_joint_4->Cl,POD_joint_4,Cl,modal_reverse,0.3200000000000003,0.5974959486792265,0.038181866867121245,0.06855269372260485,0.07870948606543451,0.5289432549566216,34.21757359396092,0.00398406374501992,True,True
Q_wall->POD_U_1,Q_wall,POD_U_1,modal,0.040000000000000036,0.16785122369468608,0.08946678525830958,0.12375574481776064,0.13523436245914358,0.04409547887692544,3.888893922861719,0.00398406374501992,True,True
POD_U_1->Q_wall,POD_U_1,Q_wall,modal_reverse,0.020000000000000018,0.141586748463012,0.09786425270490764,0.14689030043552012,0.15727977252697142,-0.005303551972508119,1.4064316814672186,0.08764940239043825,False,False
Q_wall->POD_U_2,Q_wall,POD_U_2,modal,0.08000000000000007,0.04611474978804944,0.041306051196074924,0.06978132416095771,0.09015735788540481,-0.02366657437290827,0.30476673404896465,0.3784860557768924,False,False
POD_U_2->Q_wall,POD_U_2,Q_wall,modal_reverse,0.08000000000000007,0.24596650160059313,0.12908214611270696,0.19502423780821826,0.21903904177300637,0.050942263792374876,2.7527838533642135,0.00398406374501992,True,True
