lag_s,te_bits,surrogate_mean_bits,surrogate_p95_bits,surrogate_p99_bits,z_score,p_empirical,pair
0.1599999999999966,0.03678140811943996,0.01279705266601882,0.020735504601085166,0.02425880210536454,5.671186743570179,0.00398406374501992,Nu_tube->Cl
0.23999999999999488,0.03927426824485647,0.01640691399490077,0.025801644730009538,0.031491120744340025,4.1038230954916886,0.00398406374501992,Nu_tube->Cl
0.3199999999999932,0.054727234640701505,0.018937170217544624,0.025062340252688324,0.027513772062450606,10.035936028774744,0.00398406374501992,Nu_tube->Cl
0.47999999999998977,0.07825047450584234,0.040415755685593385,0.0785224085838272,0.094633065406324,2.301216210249725,0.055776892430278883,Nu_tube->Cl
0.004999999999999893,0.03783038158227291,0.02116373821816489,0.05934556305052236,0.06759664042416567,1.1196258631553684,0.13545816733067728,Cl->Nu_fins
0.009999999999999787,0.06491099813513712,0.03705944737308259,0.09884491939338619,0.13308768739944152,1.0519156039834152,0.13147410358565736,Cl->Nu_fins
0.019999999999999574,0.1319641029261669,0.07030262450460435,0.17880950971307036,0.2301656179217673,1.3368840808665428,0.10358565737051793,Cl->Nu_fins
0.03999999999999915,0.2311857202162327,0.08666417729128714,0.21503575403460004,0.30914021434329936,2.4216191575349812,0.04780876494023904,Cl->Nu_fins
0.05999999999999872,0.25266441099157594,0.0821769109142384,0.16941560627731503,0.22560524651582034,4.0147340875532995,0.00796812749003984,Cl->Nu_fins
0.0799999999999983,0.2411062693808618,0.06923966607628969,0.13147079322388444,0.18022806840488534,5.530028229037503,0.00398406374501992,Cl->Nu_fins
0.11999999999999744,0.07790875682021471,0.06100519609730354,0.09806023849496495,0.11117211497749996,0.9877984926306609,0.1593625498007968,Cl->Nu_fins
0.1599999999999966,0.11945134821472998,0.05575294963710442,0.0772683989102418,0.08684449991561083,4.807232162636919,0.00398406374501992,Cl->Nu_fins
0.23999999999999488,0.17388333625932859,0.04861882786107385,0.06393359445937899,0.07096311105652359,12.832967171044858,0.00398406374501992,Cl->Nu_fins
0.3199999999999932,0.09527866975871527,0.052191022715025855,0.06553005622210796,0.0710608981286246,5.454268657098207,0.00398406374501992,Cl->Nu_fins
0.47999999999998977,0.134913660612824,0.07885752693552683,0.14025291506891818,0.178531230186693,1.9832882393774172,0.06374501992031872,Cl->Nu_fins
0.004999999999999893,0.027096190988178892,0.014967178435861282,0.03972256831727412,0.04903774169273958,1.220944451988919,0.11553784860557768,Nu_fins->Cl
0.009999999999999787,0.044922042997715655,0.0276098125785932,0.07481067818229993,0.10585594560872004,0.8329052335580341,0.13545816733067728,Nu_fins->Cl
0.019999999999999574,0.08311320936460385,0.05831986242149496,0.12182261839877341,0.1807139231751979,0.8192722080204482,0.12350597609561753,Nu_fins->Cl
0.03999999999999915,0.09778383317815986,0.0764247372154128,0.14860991000938095,0.20348613561799375,0.6588355717493445,0.14342629482071714,Nu_fins->Cl
0.05999999999999872,0.08201846106031055,0.042975631373020656,0.07791750901817843,0.12070539063343387,2.1245098609827573,0.04780876494023904,Nu_fins->Cl
0.0799999999999983,0.017406636632365052,0.018941252503439743,0.0322219978224073,0.03671958394830497,-0.20885427006361804,0.5179282868525896,Nu_fins->Cl
0.11999999999999744,0.08997035020084025,0.060346809451039735,0.09580691740200786,0.11290125582496094,1.725013088517261,0.07171314741035857,Nu_fins->Cl
0.1599999999999966,0.04212423479595295,0.019519847496441624,0.033355780589664874,0.03560516243164793,3.5598774986309207,0.00398406374501992,Nu_fins->Cl
0.23999999999999488,0.05123637319283164,0.025884386319151874,0.04079033062444185,0.048078064722326716,2.9741318666679657,0.00398406374501992,Nu_fins->Cl
0.3199999999999932,0.06510024718239099,0.029214663721435403,0.04256848738238975,0.04626610911437582,4.377893886441817,0.00398406374501992,Nu_fins->Cl
0.47999999999998977,0.07989910375791778,0.06062778417874205,0.10878355188507047,0.14325015608390534,0.8072487988644919,0.15139442231075698,Nu_fins->Cl
0.004999999999999893,0.03783725675061306,0.01647818371945818,0.03631269705644439,0.04987723245788892,2.0285542677431376,0.035856573705179286,Cl->Nu_EB
0.009999999999999787,0.06999504120762859,0.029241797036885415,0.06632569227469527,0.07453334180362202,2.207486448347423,0.03187250996015936,Cl->Nu_EB
0.019999999999999574,0.13896404025115683,0.05512847180678325,0.1278479295195265,0.17638306670073856,2.223553421953415,0.043824701195219126,Cl->Nu_EB
0.03999999999999915,0.26478599102250633,0.07554438447695236,0.18267263359191083,0.19682125038349693,4.069261434569008,0.00398406374501992,Cl->Nu_EB
0.05999999999999872,0.2602087345189868,0.06675296485146487,0.1483812121711275,0.1751144460982785,5.239746999077379,0.00398406374501992,Cl->Nu_EB
0.0799999999999983,0.20042893251384206,0.05646661681305532,0.11157773382963347,0.13501831328285888,5.8493254789996,0.00398406374501992,Cl->Nu_EB
0.11999999999999744,0.11021706986601507,0.059772067079311264,0.09199392340176468,0.09727174268698478,3.1425431494654523,0.00796812749003984,Cl->Nu_EB
