x_m,x_mm,mean_min,mean_max,rms_min,rms_max,sym_mean,anti_mean,A1_min,A1_max,A2_min,A2_max,phase1_min,phase1_max,phase2_min,phase2_max,coh_min,coh_max,lag_min,lag_max,corr_min,corr_max,fin_pair_corr,active_min,active_max,valid_min,valid_max
-0.0001676725000000004,-0.1676725000000004,4.942079440770819,4.875902041930435,0.0373083608633391,0.03667217975793393,4.908990741350624,-0.03308869942019164,0.013261633959218061,0.012705486812686918,0.009126770396403033,0.008964794677844242,-1.3106194241625804,-1.2986786810365627,2.3753363830000223,2.3560576549324317,0.5851603175925219,0.5961602666808344,-0.0799999999999983,-0.0799999999999983,-0.43617150270322935,-0.433183453506587,0.9995743483174508,1.0,1.0,1.0,1.0
0.0001784724999999987,0.1784724999999987,1.2275625378315187,1.228805083710877,0.009371113797840346,0.009408025430297461,1.2281838107711953,0.0006212729396790709,0.003409962111510288,0.003177874013804817,0.0022433817089739954,0.00224465370339229,-1.3590097082315769,-1.357626979857751,2.363431287611636,2.27333771594034,0.5464646087276668,0.5470561007303619,-0.0749999999999984,-0.0749999999999984,-0.44469964487330366,-0.45505170807975304,0.9969951434658226,0.0,0.0,1.0,1.0
0.0005246174999999987,0.5246174999999986,5.356198823475629,5.359898228891826,0.0406772730394774,0.04059714846824522,5.358048526183729,0.001849702708103148,0.014411061150129629,0.013940909052296961,0.010037869730855683,0.009993754907969846,-1.3114383724097993,-1.3004416800826146,2.3752210804761362,2.34329332566744,0.5809351145893368,0.5920520670168044,-0.0799999999999983,-0.0799999999999983,-0.44579912038906966,-0.44548549809286453,0.999400090603727,1.0,1.0,1.0,1.0
0.0008707624999999995,0.8707624999999994,4.688087297054083,4.7017579914282095,0.03554041239765778,0.035576675381455904,4.694922644241149,0.006835347187067265,0.01265596480889216,0.012257575755869565,0.008703730947811147,0.008678946506212811,-1.314818844259281,-1.3009775849112668,2.370066633317098,2.3321827705504727,0.5805770388802537,0.5926996173250861,-0.0799999999999983,-0.0799999999999983,-0.4423946982940295,-0.4433712868906285,0.9993010049966197,1.0,1.0,1.0,1.0
0.0012169074999999994,1.2169074999999994,1.1738820408444408,1.1745819254448304,0.009231735087471186,0.00931778785167861,1.1742319831446373,0.00034994230019520827,0.0033594142216668483,0.003011751932409029,0.002223684131746433,0.002247657036579803,-1.3813503900726707,-1.3905941603446161,2.336269316138624,2.195556940080791,0.5171490864032962,0.495979784404204,-0.0749999999999984,0.0799999999999983,-0.48312646323418057,-0.5003267202127898,0.9926567902234001,0.0,0.0,1.0,1.0
0.0015630524999999985,1.5630524999999986,3.8700625985059536,3.8710671353844064,0.029591604882801534,0.029549518880241505,3.870564866945184,0.0005022684392231467,0.01055520863920888,0.01003039620748878,0.007273889927179384,0.007240393881433035,-1.3247248850452824,-1.3144368343113884,2.363613488212892,2.30963297962023,0.5690736089770766,0.5788655541965455,0.0749999999999984,0.0749999999999984,-0.4538280985327581,-0.45670564547686937,0.9985920443943642,1.0,1.0,1.0,1.0
0.0019091974999999994,1.9091974999999994,4.795553368764471,4.804036847081275,0.03654918357450412,0.036542760291521766,4.7997951079228836,0.004241739158395665,0.013052639373983882,0.012504917080085833,0.008936257661089925,0.008896906815749957,-1.3201481172353415,-1.3041973642936702,2.359851974767917,2.311103499907556,0.5753413720788875,0.5880817154271418,0.0749999999999984,0.0749999999999984,-0.4499228752602113,-0.4520963707043466,0.9988673141782878,1.0,1.0,1.0,1.0
0.0022553425,2.2553425000000002,0.524344622314821,0.5244152292336086,0.0043154474333533385,0.004411664497928435,0.5243799257742153,3.530345939353594e-05,0.001593402381610341,0.0013199921592365793,0.0010034994674357446,0.0010478758546473095,-1.4314174095456504,-1.4698982654477346,2.2984099117634447,2.0474648881615325,0.4942006551213021,0.5199081533899265,-0.06999999999999851,0.004999999999999893,-0.524638716248433,0.5542011613741,0.9782396304888094,0.0,0.0,1.0,1.0
0.0026014874999999993,2.6014874999999993,3.746039070682252,3.7447422192340096,0.02885916702271474,0.028803690716198652,3.7453906449581265,-0.0006484257241204682,0.010334555731537347,0.009675348240202013,0.007067519501453503,0.007029547189785072,-1.3324663981775944,-1.321698768569895,2.3488461918428145,2.2782349764538257,0.5617628205245141,0.5700548945636381,-0.0749999999999984,0.0749999999999984,-0.46482545631102995,-0.46872074336738256,0.9977037081615698,1.0,1.0,1.0,1.0
0.0029476324999999984,2.9476324999999983,4.164554548567418,4.145812603920379,0.03197088802582334,0.03162392133084177,4.155183576243902,-0.009370972323513246,0.011442813449111603,0.01073972136538791,0.007806049540364025,0.007664896234076935,-1.3258313405467679,-1.3091422297169608,2.345909101975673,2.290555560238018,0.5698870843498834,0.5825697357063855,-0.0749999999999984,-0.0749999999999984,-0.4611801900070276,-0.4569636616326825,0.9981843853737804,1.0,1.0,1.0,1.0
0.0032937774999999975,3.2937774999999974,3.323268819952388,3.296784797679029,0.025928585381612627,0.02550883225104985,3.3100268088157137,-0.013242011136683166,0.009301316784645441,0.008433786444610496,0.006340981445129045,0.006163702009165613,-1.3421504306262635,-1.3366795139190581,2.3280868034617854,2.236432837293978,0.5502020975346333,0.553790722904944,-0.0749999999999984,-0.0749999999999984,-0.4838926632066168,-0.47904220070684594,0.9959420858072431,0.0,0.0,1.0,1.0
0.0036399224999999983,3.639922499999998,0.3593924974380612,0.3583000736086328,0.0034224669664157793,0.003554451635831955,0.3588462855233465,-0.000546211914714151,0.0011354268925299015,0.0007458017732568609,0.0006730580527341785,0.0008184598437018494,-1.4328790118441659,-1.5937333284905792,2.144531783109301,1.7436481148890972,0.5533589717915285,0.6161190713294769,0.01499999999999968,0.009999999999999787,0.6219649496615528,0.6661214269549139,0.9434872496052309,0.0,0.0,1.0,1.0
0.003986067499999999,3.986067499999999,3.724999966332114,3.726067817759378,0.02892044932289393,0.02889101252155984,3.7255338920457395,0.0005339257136336755,0.010327070170742936,0.009562594988796148,0.007084926682741957,0.007075609830927722,-1.3293062993793243,-1.310675544998977,2.3266239263663846,2.24936367200682,0.5610449882747207,0.5689070867502414,-0.0749999999999984,-0.0749999999999984,-0.4804281339024644,-0.48595225963922734,0.9970845934086555,1.0,0.0,1.0,1.0
0.004332212499999998,4.332212499999998,3.162505992424326,3.1603569754260072,0.025059474813261103,0.02506639372711623,3.161431483925164,-0.0010745084991608687,0.008865565360340192,0.007912952944788934,0.00617053907610075,0.006199994799087507,-1.3355890635076226,-1.3354504361694541,2.3000990591758343,2.1921746138883673,0.5401937767608613,0.5307281605371883,-0.0749999999999984,0.0,-0.5088888580373856,0.5206211354285244,0.9947305105215906,0.0,0.0,1.0,1.0
