# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.25000000e-01
# lRef          : 1.20000000e-02
# Aref          : 1.20000000e-04
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1.694558514059  	1.18312837e+00	5.91564186e-01	5.91564187e-01	-1.74793448e-03	-8.74927655e-04	-8.73006822e-04	-9.60416111e-07	-2.34122145e-10	7.54711823e-10	-5.27298478e-09	-1.88178057e-09	-3.39120421e-09
1.696307893816  	1.18305942e+00	5.91529709e-01	5.91529710e-01	-1.74251112e-03	-8.71757193e-04	-8.70753930e-04	-5.01631316e-07	-5.04424141e-10	5.22788520e-10	-5.24303751e-09	-2.09873024e-09	-3.14430728e-09
1.698057324177  	1.18298754e+00	5.91493769e-01	5.91493770e-01	-1.74341339e-03	-8.71747343e-04	-8.71666049e-04	-4.06468204e-08	-2.71834306e-10	8.87694729e-10	-5.22873866e-09	-1.72667460e-09	-3.50206406e-09
1.69980680510556	1.18291760e+00	5.91458799e-01	5.91458800e-01	-1.74022184e-03	-8.69689491e-04	-8.70532351e-04	4.21429829e-07	-1.59651401e-10	3.98846622e-10	-5.22307507e-09	-2.21269091e-09	-3.01038415e-09
1.70155633656726	1.18284805e+00	5.91424023e-01	5.91424023e-01	-1.73689582e-03	-8.67562997e-04	-8.69332820e-04	8.84911819e-07	-2.56805615e-10	7.64854150e-10	-5.22219983e-09	-1.84624577e-09	-3.37595407e-09
1.70330591852787	1.18277944e+00	5.91389718e-01	5.91389719e-01	-1.73091205e-03	-8.64106356e-04	-8.66805692e-04	1.34966844e-06	-4.52907723e-10	5.31954494e-10	-5.18631485e-09	-2.06120293e-09	-3.12511192e-09
1.70505555096393	1.18271057e+00	5.91355283e-01	5.91355283e-01	-1.72304348e-03	-8.59705927e-04	-8.63337558e-04	1.81581535e-06	-3.04699856e-10	7.44870687e-10	-5.18110305e-09	-1.84568084e-09	-3.33542221e-09
1.70680523387146	1.18264114e+00	5.91320569e-01	5.91320570e-01	-1.71429582e-03	-8.54864479e-04	-8.59431337e-04	2.28342896e-06	-4.63799145e-10	5.19584901e-10	-5.15147553e-09	-2.05615286e-09	-3.09532266e-09
1.70855496726201	1.18257122e+00	5.91285608e-01	5.91285609e-01	-1.70696046e-03	-8.50727680e-04	-8.56232777e-04	2.75254873e-06	-2.71525458e-10	7.41808222e-10	-5.15841674e-09	-1.83740015e-09	-3.32101659e-09
1.71030475114287	1.18250192e+00	5.91250961e-01	5.91250962e-01	-1.70049755e-03	-8.47025924e-04	-8.53471624e-04	3.22285016e-06	-4.06036845e-10	5.26929574e-10	-5.12617978e-09	-2.03616031e-09	-3.09001946e-09
